EmpID,JobLevel,WorkingHours,PerformanceRating,WorkExperience,Working_years(samecompany),Years_Since_last_Promotion ,SalaryHike%,Overtime,DailyTravellingtime,PaidLeave,SickLeave,PaternityLeaveIndex,MaternityLeaveIndex,EqualPayIndex,WLB Score
553-09-1005,4,9,2,0,26,11,78,0,0,9,4,0,4,5,73.1
121-78-4208,7,12,3,23,9,20,13,0,0,2,2,2,4,5,9.4
594-75-3711,7,9,4,8,18,7,70,2,0,11,11,0,1,0,70.9
467-85-3870,7,9,5,31,42,12,73,1,0,11,1,2,3,2,68.7
380-78-0274,0,11,4,20,0,6,70,0,1,2,0,0,1,1,53.5
483-97-6662,4,10,0,19,5,10,10,2,1,7,6,5,1,3,12.2
682-59-2742,5,12,1,36,9,1,62,0,3,11,7,2,4,2,58.3
717-75-7968,3,9,3,25,20,10,40,0,3,9,9,4,1,0,40.5
325-21-9619,5,10,2,14,39,1,76,3,2,1,3,0,2,5,62.2
664-46-5045,2,12,3,19,14,16,32,4,1,2,12,0,4,1,23.2
241-18-3696,6,12,5,10,1,7,2,3,0,12,7,0,2,3,11.7
734-60-4732,1,8,2,37,28,16,89,3,2,1,4,2,2,4,68.2
389-83-3341,6,9,5,41,29,2,25,4,0,10,11,0,1,0,35.3
722-99-4130,0,10,4,30,8,5,67,1,0,1,4,2,2,0,57.2
484-29-5794,5,10,5,15,9,7,46,2,3,4,0,2,3,1,36.2
644-78-6787,0,12,1,28,10,0,60,0,2,3,4,5,0,4,50.8
340-65-4320,2,9,2,21,33,18,93,3,2,6,0,3,0,0,65.6
421-96-9008,0,8,1,4,7,2,29,3,3,9,1,2,0,0,22.8
439-01-2577,1,8,3,25,2,7,55,0,2,10,12,3,0,1,58.9
356-65-9544,6,9,2,26,42,4,21,4,2,4,5,5,4,5,25
522-17-2473,6,11,3,23,38,9,62,0,1,7,6,1,0,0,53.5
846-21-3275,7,10,0,21,41,11,13,4,1,7,7,5,4,2,14.7
264-59-3547,1,8,4,21,29,6,84,0,2,8,2,3,0,1,74.4
289-37-8623,3,9,5,40,3,4,48,2,2,9,9,2,2,3,52.7
486-24-7101,3,12,2,15,12,19,76,4,2,12,0,3,0,3,51.9
572-76-6388,6,9,1,17,20,12,9,4,0,7,4,2,3,5,12
698-84-7290,5,11,1,20,22,17,24,2,1,3,2,1,5,4,14.8
125-28-6940,1,8,1,8,27,15,88,0,1,0,6,4,4,2,73.7
303-05-8271,5,9,0,30,12,2,64,2,0,4,12,5,2,1,64.9
478-06-4299,4,12,1,27,23,3,40,4,0,6,10,4,0,4,39.1
233-18-5047,5,12,0,19,18,20,14,2,3,1,2,4,2,1,-3.5
281-12-4721,0,10,4,7,29,3,63,3,3,10,7,1,0,0,54.3
290-09-2503,3,12,1,36,42,0,89,1,1,12,10,0,1,3,82.4
324-15-4305,5,10,4,11,33,5,18,3,2,6,5,3,1,2,19.5
739-82-8145,1,8,5,35,32,17,30,2,0,6,11,2,5,5,38.7
572-45-4226,1,11,2,9,0,15,26,2,2,6,5,3,0,3,17.4
128-55-4312,4,8,2,18,26,16,86,1,1,8,5,0,5,4,76
889-07-1040,6,9,5,26,5,6,44,2,2,7,7,0,4,2,45.9
805-60-2039,6,9,5,12,3,16,13,4,1,7,0,4,5,1,12.1
624-41-9651,6,9,0,15,6,6,59,0,2,10,5,1,4,3,56.6
420-70-7277,7,12,1,33,16,2,50,0,0,8,3,5,4,4,51.5
733-68-3802,7,10,5,13,1,6,81,3,3,6,5,5,2,5,73.4
221-47-2870,1,9,0,30,28,16,29,1,0,3,1,4,3,3,21.8
557-95-8752,2,12,0,32,11,8,35,3,0,7,10,2,2,1,30.6
679-20-3452,3,11,4,33,11,8,16,2,0,4,12,5,2,1,23.9
898-60-7927,5,9,0,12,6,2,60,1,1,5,5,2,2,1,54.5
582-02-0057,3,11,5,37,1,15,58,4,1,0,10,0,4,1,45.5
337-21-3249,6,12,2,3,28,10,7,2,0,3,11,2,0,5,11.5
689-53-0416,4,8,2,22,9,3,87,2,2,7,0,2,0,1,72.2
291-31-9214,2,8,0,5,26,17,24,1,1,0,3,4,5,4,19.3
103-48-8949,2,9,4,1,15,10,62,0,1,6,11,0,5,2,63
393-74-2259,2,11,1,30,12,7,41,0,0,3,12,0,4,0,40.2
277-86-5108,7,9,4,2,18,17,63,3,1,3,10,4,1,1,55.2
808-66-7639,6,8,2,34,31,15,41,4,1,8,2,4,5,1,35.7
205-19-2596,4,8,4,29,4,16,14,1,1,5,4,3,3,3,17.7
311-37-2045,0,8,4,0,13,3,42,4,2,5,6,0,2,1,38.4
618-74-1973,0,12,4,36,13,17,76,0,1,6,7,4,2,3,63.7
298-55-8193,6,8,1,17,23,4,7,3,0,3,12,4,0,1,17.6
439-53-6005,2,10,5,40,36,15,96,0,3,12,5,4,2,1,82.9
606-76-6531,5,11,3,38,12,13,97,1,1,3,4,4,5,5,82.4
487-77-2868,6,11,2,33,0,18,10,0,0,10,4,2,0,4,11.5
140-69-2133,0,9,5,38,37,20,43,3,0,12,9,3,0,3,42.9
826-96-7247,6,8,0,39,17,6,73,3,1,2,3,5,0,0,59
557-85-2983,4,11,2,18,16,2,74,0,2,5,3,1,3,4,64.5
301-58-0029,0,12,2,3,39,10,3,2,3,7,12,2,2,4,5.7
550-32-7846,3,12,4,24,8,10,22,1,1,1,4,2,4,0,16.3
716-64-8832,1,8,0,28,10,8,15,1,0,10,8,1,0,0,20.2
871-34-7288,5,10,2,29,16,13,95,0,2,5,4,2,5,3,79.5
346-39-9147,4,8,3,21,26,15,84,0,1,5,10,0,3,3,77.3
469-89-3373,1,9,2,7,38,5,43,0,1,11,8,2,4,1,48.5
808-09-3486,6,8,0,15,40,4,51,4,1,7,5,0,4,2,46.7
835-57-2153,6,10,5,11,28,5,42,0,3,0,2,2,5,2,37.6
556-17-0259,1,10,1,35,16,6,13,4,0,1,10,0,1,3,12.6
709-87-6101,1,9,0,30,7,4,78,1,1,11,2,2,2,5,70.7
742-02-4596,6,8,4,1,15,20,61,2,2,4,2,2,5,3,49.7
545-89-5710,1,8,3,41,25,18,33,3,2,2,7,1,0,5,25.3
164-79-4017,5,8,1,29,2,3,24,0,2,3,9,4,2,5,33.3
428-87-6767,3,8,4,3,19,3,46,0,3,7,7,3,4,2,51.1
541-44-6686,7,10,4,42,25,6,28,4,2,8,11,5,4,0,34.1
769-36-0601,0,10,5,32,40,15,50,3,3,10,0,5,1,5,39.8
223-53-5667,7,12,2,7,10,9,30,1,3,9,2,3,4,3,25.3
422-06-7284,0,10,4,24,11,0,13,1,2,8,5,3,1,5,22
511-77-4543,7,9,0,34,14,15,95,0,1,7,3,5,2,0,78.4
468-80-7819,0,12,1,29,3,17,55,1,3,5,11,2,1,0,38.5
762-45-5216,6,8,4,10,21,17,94,3,1,8,6,4,1,2,81.7
685-17-7402,3,8,1,33,7,11,79,0,3,6,7,3,2,3,69.4
371-87-3589,3,10,0,9,34,13,72,3,1,10,12,3,3,1,64.1
860-68-0820,4,9,4,18,34,4,98,0,2,12,8,3,3,5,97.8
497-80-7871,5,11,5,3,36,16,56,3,3,7,5,3,0,2,42.4
490-08-3512,2,10,4,3,38,0,19,0,2,9,6,1,5,4,30.4
708-21-2170,3,9,0,39,26,9,20,4,0,1,12,3,1,3,21.2
555-32-3546,3,10,2,22,18,10,31,1,3,2,4,5,5,2,25.9
339-01-1484,6,8,5,34,38,0,44,1,3,1,8,2,3,4,49.2
511-53-3547,3,9,5,12,13,12,20,4,2,7,0,3,0,5,16.5
597-50-1267,0,12,5,37,25,8,5,2,3,0,5,3,4,3,2.6
345-96-5039,3,12,3,39,31,16,22,4,3,1,5,0,0,2,4.6
530-72-0362,2,10,2,27,26,5,77,1,0,7,8,4,5,5,77.1
368-25-5168,0,8,0,1,37,12,7,0,0,11,1,4,2,1,11.3
403-76-2228,1,8,2,40,5,9,29,2,1,3,11,0,4,1,31
200-52-6696,1,9,4,7,29,16,91,0,3,2,12,1,4,5,80.4
288-15-3288,7,11,1,6,8,19,59,1,0,3,11,5,0,2,50.2
774-13-5170,4,11,1,24,32,13,1,4,0,3,7,3,5,0,-0.2
891-93-3002,5,8,5,13,5,15,42,3,0,10,4,3,0,4,43.1
781-89-2678,0,8,4,6,21,20,41,1,3,12,0,5,3,3,35.3
785-53-8498,6,8,5,5,11,13,80,0,3,6,7,4,0,1,72.1
248-96-0005,1,9,0,37,32,7,65,0,1,6,5,0,3,5,58.7
409-09-7952,7,12,5,25,25,14,14,1,1,4,0,5,0,0,8.1
729-11-0760,3,9,1,36,41,16,78,0,0,7,12,5,4,3,76.1
402-14-2441,4,12,1,2,17,15,98,2,2,6,6,5,1,3,76
547-43-3191,4,9,2,35,10,3,93,1,0,5,9,1,5,1,88
714-34-1163,2,12,2,37,9,18,34,2,3,5,10,0,4,4,24.3
796-40-3771,6,11,4,29,22,17,66,4,0,1,1,1,0,4,46
445-07-0989,3,12,4,30,37,10,4,0,3,0,1,1,2,4,-2
439-58-6795,1,12,1,10,12,5,80,4,1,9,7,0,0,3,64
331-27-4655,7,11,4,20,25,8,39,2,2,2,0,0,2,0,26
817-40-4786,3,12,2,34,24,11,98,3,1,8,5,4,3,0,78
182-52-0176,2,9,5,30,24,3,56,1,3,2,2,5,1,1,48.9
165-06-2401,7,12,5,1,12,10,95,0,1,5,7,4,4,1,84.7
801-83-1506,2,10,3,3,23,19,10,1,2,6,5,0,3,0,4.4
294-26-7671,3,12,3,24,12,20,64,0,1,7,4,3,2,3,50.1
640-78-3602,1,8,5,11,16,9,76,4,1,12,2,2,5,2,70.1
713-38-9733,5,8,4,39,32,9,20,3,3,1,10,2,3,4,23.6
831-09-8162,5,9,5,14,32,12,69,3,3,2,9,2,1,4,59.4
829-19-2408,0,12,2,16,36,20,4,3,1,10,12,0,4,0,2.4
723-06-2076,7,11,4,26,17,6,30,4,1,11,10,2,3,2,35.7
640-01-7055,3,11,2,12,4,0,8,1,2,0,1,0,0,2,2.9
714-35-4189,5,10,3,26,40,13,24,4,3,12,0,0,3,2,15.7
897-37-4431,4,8,0,33,31,7,1,1,0,1,4,3,5,4,8.8
811-86-7613,6,12,3,25,13,20,70,1,1,10,8,1,3,3,59.1
368-12-6826,4,12,2,3,39,7,90,3,0,2,0,4,1,3,68.7
536-38-7607,3,11,1,35,33,14,33,4,0,3,9,4,5,0,26.8
422-35-8487,4,12,0,36,15,10,39,0,2,3,7,3,0,2,29
588-02-8026,1,8,2,17,4,15,88,2,1,11,10,1,1,0,77.3
677-10-6833,5,12,3,30,9,5,97,2,2,8,7,4,2,1,83.1
385-81-8581,3,8,4,26,17,12,12,3,0,11,4,4,0,2,18.8
173-70-1880,2,10,0,26,28,18,15,1,0,3,0,0,1,0,1.9
828-61-6082,7,11,0,29,37,10,35,3,2,8,7,4,4,2,30.9
651-62-5522,5,12,4,8,32,19,90,2,1,0,11,4,2,4,73.5
549-19-6100,4,9,2,21,34,13,93,4,3,5,1,4,5,3,72
296-07-8199,7,8,2,14,35,4,62,2,1,9,5,5,2,4,64.4
640-06-5483,0,10,3,42,20,5,98,2,3,11,12,5,4,4,93.6
847-11-1552,0,10,4,19,38,15,40,3,0,3,10,4,2,1,36.3
556-51-1847,3,11,3,30,41,2,30,3,1,7,10,1,0,1,31.1
374-15-6121,2,12,2,32,33,4,59,3,0,6,5,1,1,0,47.3
849-63-1875,0,9,3,10,34,1,74,2,2,4,1,2,3,0,61.2
572-22-3824,1,10,2,32,25,7,15,0,2,7,7,0,1,4,18
804-42-1778,3,9,3,24,32,16,65,2,3,9,12,5,4,2,61.5
803-88-5844,5,9,5,14,9,8,28,4,1,12,11,4,5,4,41.7
827-96-4253,0,9,4,27,18,12,0,0,1,1,5,4,0,5,5.5
492-71-3099,5,12,3,24,41,12,80,0,2,3,8,0,3,3,65.6
700-05-5703,1,9,4,16,32,10,40,0,3,8,0,2,1,4,34.7
760-72-6455,6,10,3,35,32,1,49,2,3,6,1,4,2,4,44.6
554-21-4563,3,8,1,9,7,15,48,3,0,2,0,2,1,3,34.6
186-74-5445,1,8,5,25,17,6,81,2,0,12,3,2,2,4,79.7
452-70-5102,0,12,0,16,32,0,65,2,2,7,5,0,4,3,53.5
488-61-6938,0,12,1,9,35,17,2,3,3,3,5,3,5,0,-9.1
478-18-0264,0,8,1,3,2,2,98,0,0,12,0,0,1,0,86.2
332-38-5774,0,8,2,23,20,17,6,2,2,11,0,3,0,1,2.2
413-94-4324,2,12,4,29,38,20,100,4,1,12,11,0,3,3,82.6
531-95-0107,7,8,2,9,9,18,90,0,1,5,6,0,1,2,75.4
722-61-6415,2,9,2,22,22,16,29,4,2,8,3,5,4,0,21.5
442-55-1713,1,12,1,16,22,8,18,4,2,6,5,4,4,0,10.7
287-81-2079,4,9,1,1,20,15,77,4,0,5,9,4,2,4,67
108-46-8846,2,12,2,13,0,11,62,0,2,12,10,1,0,1,54.2
838-54-6923,4,12,1,15,5,4,72,4,1,10,9,0,1,3,61.8
290-63-7823,0,11,1,33,18,11,45,1,2,6,1,5,5,0,33.3
568-91-6935,0,9,2,30,9,7,38,2,1,8,6,2,4,1,37.6
869-95-4101,2,10,5,36,13,20,7,2,2,11,11,2,3,0,11.4
228-54-4036,2,11,0,34,18,10,50,0,3,5,8,0,0,0,36
838-48-8787,4,8,0,4,33,7,31,2,3,1,4,4,2,0,23.2
849-04-6188,6,9,2,17,0,9,74,4,2,0,2,1,2,0,53
787-64-3880,0,9,0,1,7,5,46,1,2,11,11,3,0,3,48
378-29-9637,0,10,1,21,28,9,66,4,2,4,8,2,1,5,53
178-42-7033,2,9,1,30,24,19,2,4,3,3,7,3,0,2,-6.1
683-91-5529,3,11,3,27,31,12,29,3,0,7,6,3,1,2,26.1
405-02-7662,3,12,2,17,18,14,15,0,3,10,3,1,2,5,11.1
158-39-1642,1,12,5,26,22,11,20,1,1,12,2,2,5,4,23
258-28-7706,3,11,3,33,31,8,41,3,2,11,7,1,0,5,38.2
133-97-9833,2,10,0,38,4,1,70,3,2,10,9,0,3,2,63.2
697-42-6968,6,11,0,42,0,0,29,4,0,7,12,5,3,4,37.5
312-45-8127,3,9,1,28,42,15,63,3,0,11,6,5,5,5,60.9
435-71-6950,3,9,1,22,14,12,63,2,0,5,4,4,3,1,53.7
679-13-2509,6,10,5,15,25,0,13,4,2,2,5,1,3,5,17.9
411-97-7244,3,11,5,34,1,9,87,0,1,5,3,5,1,5,77.5
355-99-8906,3,11,1,14,6,2,17,3,2,3,4,0,4,0,11.1
766-22-7209,5,12,5,38,40,3,83,4,1,10,0,5,5,1,72.2
676-59-9049,7,9,1,7,39,16,87,3,3,4,8,5,4,5,73.1
765-75-9626,2,9,4,10,40,19,95,0,0,8,9,1,3,4,86.8
785-27-6274,3,11,1,25,36,4,45,0,1,12,1,1,2,1,40.4
245-95-8077,6,8,1,12,41,20,25,0,0,6,6,2,4,4,27.6
285-63-4089,0,9,5,15,3,13,15,1,2,0,9,0,2,3,15.4
497-36-1874,1,12,0,37,11,16,59,4,1,7,3,2,5,3,40.5
593-17-3972,7,8,4,14,42,1,78,0,0,6,1,0,5,3,77.5
680-80-1518,4,10,3,30,41,16,37,3,2,1,4,4,3,5,28
341-99-3721,6,11,3,7,31,14,67,3,3,8,10,1,3,2,55.7
285-87-2585,4,9,1,13,4,7,80,1,1,4,0,4,3,3,67.3
481-41-9166,1,11,1,2,32,15,42,1,0,3,11,0,5,0,35.4
235-35-1099,1,10,1,38,39,15,37,3,1,4,12,1,3,1,30.7
653-97-8726,3,9,5,16,32,20,40,3,0,10,5,4,5,4,41.3
145-73-2875,7,9,5,6,11,6,11,4,3,3,4,5,2,2,13.1
228-62-2736,1,11,5,24,39,5,10,1,1,1,9,3,2,1,15.2
639-45-9848,0,12,3,19,37,3,48,2,2,8,10,3,2,5,48
263-80-5640,6,10,0,9,42,11,1,3,2,6,4,2,0,3,-2.1
281-19-5976,6,11,0,17,37,18,88,0,3,2,3,5,1,3,63.5
829-01-1172,3,9,0,15,5,12,16,4,2,0,7,3,5,1,9.9
840-03-0799,0,8,5,42,37,18,78,1,1,2,1,4,1,4,63.6
779-26-9639,1,8,1,0,30,7,96,3,3,2,9,2,1,1,77.7
845-13-7328,2,8,0,29,22,10,36,3,1,5,6,3,5,1,32.9
671-80-0488,5,12,0,25,7,20,49,2,1,10,5,3,1,2,34.8
808-66-2667,3,11,2,17,37,11,58,2,0,2,5,0,2,3,45.6
780-06-4589,6,11,5,27,39,8,80,0,2,3,0,2,4,3,66.8
819-14-7158,5,12,1,42,15,7,4,2,0,12,4,1,3,0,6.8
478-24-6066,5,8,3,40,34,19,71,2,0,4,5,1,4,0,59
463-86-3179,1,11,3,39,34,16,77,1,2,7,12,2,2,0,64.5
802-77-2295,4,8,4,27,35,12,56,3,1,3,5,3,2,2,49.4
818-79-5410,6,11,0,10,18,14,52,2,1,2,12,2,5,5,46.7
231-90-5615,1,9,5,9,40,9,2,1,2,6,12,3,0,0,11.8
315-14-8162,6,8,2,9,34,17,63,2,1,12,8,4,0,2,59.4
175-53-7917,5,8,1,42,19,1,43,0,3,11,1,0,5,5,45.8
392-21-2774,7,12,0,41,25,18,60,2,0,1,9,3,1,2,44.5
467-06-1908,6,9,2,3,5,5,62,2,0,4,11,3,3,1,62.7
486-86-7925,3,12,3,26,41,18,10,2,2,0,1,1,3,4,-2.3
254-68-5664,5,11,0,35,14,15,56,1,3,2,10,3,5,4,45.5
816-42-1709,0,8,3,0,40,20,2,4,2,12,10,0,0,1,3.1
378-13-9411,7,12,0,9,4,1,51,3,2,8,6,1,1,3,43
623-83-3437,0,10,0,36,15,12,79,3,0,3,11,1,0,2,63.5
525-61-6711,1,12,4,18,18,15,77,0,3,0,0,0,3,0,49.7
719-59-6011,4,11,5,37,27,14,17,0,0,10,12,5,0,2,28.3
225-46-7514,6,9,2,36,18,6,1,1,1,2,9,1,4,1,9.6
334-91-5051,1,11,0,35,20,11,77,4,1,0,6,5,0,1,54.5
554-54-2631,4,10,5,30,31,11,67,1,0,10,3,3,2,3,63.7
185-76-8859,7,12,2,5,21,15,60,0,1,11,9,3,3,0,54.5
798-84-4263,3,11,0,3,33,16,21,3,0,2,5,4,5,3,14.6
811-88-1502,6,11,3,35,32,17,43,3,2,0,0,4,0,5,25.8
487-54-7862,7,12,1,34,28,10,56,2,1,11,3,3,3,3,47.9
196-47-2733,3,9,1,16,36,11,24,4,0,12,5,0,5,4,26.7
701-05-0656,2,8,3,13,17,10,39,3,1,4,4,3,4,0,34.8
483-12-6794,0,12,2,21,32,8,55,1,0,1,1,3,1,5,42.2
601-39-2729,7,8,1,36,1,15,48,4,1,10,0,5,2,5,41.8
355-24-7889,0,12,4,26,34,4,33,2,0,9,3,1,5,0,31.6
591-64-9037,1,11,2,34,39,16,72,2,0,2,8,5,2,1,57.7
157-57-4547,2,11,1,36,36,4,55,3,1,0,4,4,1,2,41.9
187-40-9022,0,9,1,25,41,19,76,1,1,4,8,0,5,2,61.4
490-62-6783,7,9,0,4,35,11,54,3,1,6,1,0,5,3,43
795-84-7456,6,11,4,26,18,9,88,3,0,11,4,4,1,0,76.7
429-39-5397,5,8,2,25,25,19,25,1,1,0,1,3,3,4,18.6
850-13-9937,4,10,1,30,19,8,20,4,0,6,8,1,0,5,20.9
781-97-0966,0,12,1,4,42,9,15,4,1,1,9,1,4,3,9.5
382-54-8269,0,12,1,5,20,14,55,3,3,4,12,2,2,5,42.1
104-30-3499,5,9,4,36,31,6,48,2,0,2,9,5,4,1,51.7
870-82-3617,5,8,0,8,20,4,79,1,3,3,10,2,3,2,71.3
172-28-9479,3,8,0,5,11,3,68,1,0,7,3,5,0,0,62.3
198-12-1713,7,11,5,11,1,1,56,0,3,7,7,0,3,3,56.1
487-87-0182,7,10,4,0,11,8,92,4,2,7,10,4,0,1,80.6
593-72-3054,5,12,1,34,22,10,34,1,2,12,3,1,2,4,28.8
328-37-1325,6,8,5,2,34,10,2,3,0,4,9,5,3,3,16.6
607-49-8298,7,9,3,39,26,7,87,1,3,11,4,2,4,5,81
700-93-5976,4,12,1,33,39,5,96,0,2,6,9,5,4,4,86.5
858-50-4610,7,10,4,30,4,17,72,0,2,12,2,3,5,2,64.2
668-40-7221,1,9,3,4,33,14,12,3,3,1,3,5,2,0,3.8
380-96-3808,5,12,4,23,37,12,91,3,3,1,12,3,0,4,73.3
814-22-9560,2,11,2,12,40,10,32,2,0,1,12,0,4,4,31.9
863-08-7416,5,8,4,38,28,5,72,4,1,1,4,1,4,5,65
238-24-1506,5,9,2,33,24,4,89,0,0,7,4,3,2,3,83.7
575-56-4899,3,11,3,16,16,7,71,1,0,6,5,0,1,5,63.3
616-53-3070,1,10,3,14,17,20,18,3,0,6,12,2,5,5,22.3
778-44-6988,0,12,4,11,24,11,80,3,0,1,0,4,2,5,60.9
119-94-0743,2,12,2,42,19,6,25,4,2,9,7,3,3,0,20.8
799-15-9749,5,10,2,38,23,15,10,4,2,4,12,3,3,2,10.6
212-61-2032,3,12,3,34,25,3,54,1,0,11,6,5,2,5,57.6
612-76-1526,1,12,0,23,2,4,59,3,0,6,4,0,5,1,46.7
775-32-5907,4,10,1,22,12,4,12,1,2,8,7,2,3,0,16.1
279-72-5350,7,9,3,12,21,4,58,4,0,8,4,2,5,4,58.6
146-13-1925,4,9,3,13,10,3,6,2,3,12,4,3,0,2,12.9
850-24-6316,2,9,3,18,25,0,72,2,2,2,10,1,0,0,64.3
770-77-9300,4,11,1,16,28,8,64,4,1,4,10,5,2,1,54.3
526-71-6311,0,9,0,21,35,13,74,1,0,9,6,4,4,1,65.8
743-19-4042,4,12,2,31,38,2,77,1,1,9,9,5,4,2,74.6
853-77-3042,3,9,5,15,15,11,68,3,0,1,4,4,2,4,60.2
412-97-3582,2,10,3,21,4,12,89,2,3,9,2,2,4,1,70.4
432-44-4937,0,9,2,5,17,14,45,3,2,9,8,4,2,3,40.7
290-40-7878,0,12,3,6,35,8,25,0,3,2,12,5,3,1,24.8
323-20-6524,3,9,3,0,34,3,38,0,1,8,10,3,2,1,46.3
524-67-0808,5,10,2,3,7,11,86,4,3,9,2,5,2,1,66.8
168-26-9738,7,10,4,13,30,9,67,2,2,12,7,4,2,2,64.8
250-04-5638,4,9,4,34,30,17,0,1,0,6,6,0,5,0,5.5
572-78-0613,0,8,3,12,6,4,0,1,3,3,5,2,3,0,4.2
706-54-0392,6,12,5,23,9,4,28,4,3,4,3,5,2,3,23.4
597-03-4759,1,12,2,37,22,14,47,0,0,3,11,0,2,4,41.5
197-98-1208,1,10,5,18,9,6,14,1,1,7,2,3,5,5,22
312-24-9763,3,11,5,21,29,9,91,0,1,10,3,2,4,4,83
493-77-9411,0,9,3,11,28,1,10,2,3,12,7,3,2,0,18.1
333-04-0878,2,12,0,28,31,19,71,3,3,5,7,0,0,3,44.8
714-36-7268,3,10,0,34,33,17,74,0,3,4,0,2,4,0,50.1
617-78-2662,6,11,1,34,21,12,59,1,2,7,12,3,0,0,51
830-80-9875,3,9,5,32,28,4,58,0,2,5,9,2,0,0,57.2
196-08-0009,3,12,0,40,7,7,30,2,0,3,0,2,0,1,16.9
840-11-5296,6,10,4,25,22,4,84,3,3,9,11,0,5,1,78.1
458-64-1509,2,10,0,31,41,4,63,0,1,6,4,1,2,3,55.2
625-23-0975,5,11,5,8,7,11,18,1,2,7,5,5,0,0,18
