EmpID,Diversity and Inclusion Index,WorkPlace Equality Index,Accesibility Index,COC Effect,Hygiene and Work Environment Metrics,Yearly Health Workshops,DEI Workshops,Reacreational Activities Time Min,Corporate Wellness Metrics
898-60-7927,13,17,2,0,4,10,6,18,11.19
582-02-0057,18,1,1,0,2,3,4,99,20.34
337-21-3249,19,13,3,0,4,9,8,63,18.75
689-53-0416,16,15,3,0,3,4,8,10,9.89
291-31-9214,19,17,3,1,5,11,9,113,27.44
103-48-8949,6,9,2,0,2,2,10,72,15.2
393-74-2259,19,17,0,1,5,11,7,120,28.09
277-86-5108,2,11,2,0,3,11,10,35,9.97
808-66-7639,12,10,0,1,0,8,8,7,7.22
205-19-2596,15,5,4,0,0,12,2,85,19.08
311-37-2045,12,19,3,0,0,8,6,58,16.82
618-74-1973,9,1,2,1,0,8,7,78,15.47
298-55-8193,8,1,3,1,1,5,8,113,20.46
439-53-6005,7,6,2,1,4,8,5,92,18.41
606-76-6531,13,20,3,1,2,9,6,35,14.18
487-77-2868,11,9,2,0,1,12,2,37,11.59
140-69-2133,7,12,2,1,3,7,10,34,10.96
826-96-7247,15,19,1,0,1,2,7,72,19.09
557-85-2983,20,15,3,1,2,3,5,114,26.19
301-58-0029,9,11,0,0,3,11,2,10,7.37
550-32-7846,16,19,5,1,4,3,6,106,25.26
716-64-8832,12,17,0,1,5,10,7,13,10.2
871-34-7288,2,10,1,1,2,7,8,39,9.75
346-39-9147,8,14,3,0,4,7,9,18,9.32
469-89-3373,6,14,5,0,3,2,2,5,6.16
808-09-3486,19,9,2,0,2,12,8,18,11.15
835-57-2153,11,20,0,1,3,7,7,71,18.76
556-17-0259,7,20,3,1,4,8,2,84,19.96
709-87-6101,13,2,2,1,5,6,5,39,11.09
742-02-4596,2,15,1,1,0,9,1,14,6.61
545-89-5710,2,18,3,1,5,11,8,92,20.19
164-79-4017,18,14,4,0,4,11,1,100,24.18
428-87-6767,10,3,3,1,2,6,3,83,16.81
541-44-6686,20,6,1,0,4,3,8,43,13.86
769-36-0601,7,5,4,1,2,11,5,89,18.01
223-53-5667,6,19,1,1,1,4,7,20,9.27
422-06-7284,1,19,1,1,3,3,9,7,6.3
511-77-4543,13,13,3,0,0,7,10,107,23.33
468-80-7819,20,20,2,0,5,2,4,21,13.28
762-45-5216,8,13,2,0,4,1,7,55,13.93
685-17-7402,17,6,3,0,4,7,8,120,25.22
371-87-3589,10,1,0,1,3,4,1,46,10.39
860-68-0820,16,17,2,0,1,8,3,15,10.83
497-80-7871,13,17,1,0,2,12,9,28,12.7
490-08-3512,6,15,2,0,3,4,8,85,18.54
708-21-2170,10,9,3,0,1,11,9,29,10.5
555-32-3546,1,17,1,0,4,11,1,110,21.73
339-01-1484,13,12,2,1,3,2,10,51,14.56
511-53-3547,13,2,3,1,5,6,5,9,6.69
597-50-1267,17,11,0,1,1,6,10,36,13.05
345-96-5039,15,14,5,1,1,3,6,54,15.88
530-72-0362,5,20,4,0,2,1,10,21,9.61
368-25-5168,5,2,1,1,5,9,4,111,20.01
403-76-2228,2,17,0,1,2,10,6,27,9.42
200-52-6696,10,2,0,1,3,6,9,1,4.42
288-15-3288,9,14,0,0,2,7,5,28,10.35
774-13-5170,1,6,1,1,1,4,4,69,12.62
891-93-3002,15,4,5,1,3,5,10,118,24.08
781-89-2678,16,11,0,1,0,1,10,29,11.19
785-53-8498,18,1,0,1,5,9,9,15,8.81
248-96-0005,16,3,0,1,4,4,4,94,19.75
409-09-7952,11,15,0,0,3,6,10,106,23.02
729-11-0760,11,3,2,1,5,9,3,69,15.46
402-14-2441,20,13,5,1,2,4,9,41,15.33
547-43-3191,5,11,5,1,1,7,1,58,13.49
714-34-1163,9,7,2,0,0,6,4,90,18.09
796-40-3771,6,16,5,0,4,11,9,12,8.88
445-07-0989,11,16,2,1,5,3,10,30,12.02
439-58-6795,17,9,3,1,1,5,5,102,22.51
331-27-4655,5,8,2,1,1,1,8,56,12.1
817-40-4786,15,11,2,0,0,2,3,67,16.53
182-52-0176,18,11,0,0,4,7,2,29,12.22
165-06-2401,15,8,4,1,2,9,1,80,18.88
801-83-1506,10,20,2,1,0,11,9,19,11.04
294-26-7671,20,14,3,0,1,5,4,80,20.86
640-78-3602,18,7,1,0,3,1,9,98,21.57
713-38-9733,13,4,0,1,3,5,2,17,7.53
831-09-8162,16,16,4,1,1,3,5,83,20.73
829-19-2408,13,1,0,1,0,12,4,53,12.73
723-06-2076,8,2,2,0,5,11,7,37,10.04
640-01-7055,7,12,0,1,2,3,10,61,14.34
714-35-4189,7,15,3,1,1,1,2,27,9.45
897-37-4431,3,15,5,1,4,5,5,83,17.89
811-86-7613,12,2,0,0,0,6,3,21,7.24
368-12-6826,2,12,3,0,4,9,6,111,21.4
536-38-7607,12,10,0,1,4,6,9,65,16.23
422-35-8487,19,3,4,0,3,4,9,93,20.84
588-02-8026,7,1,4,0,2,1,5,18,5.61
677-10-6833,16,18,2,1,1,12,7,89,22.74
385-81-8581,12,13,0,0,0,7,2,29,10.68
173-70-1880,17,16,3,1,0,10,4,68,19.1
828-61-6082,6,18,2,0,5,9,10,2,7.46
651-62-5522,12,10,3,1,5,10,5,9,8.4
549-19-6100,9,16,2,1,1,9,4,10,8.32
296-07-8199,10,12,4,0,3,4,9,37,11.99
640-06-5483,12,4,4,1,0,4,10,34,10.21
847-11-1552,12,15,5,1,2,3,1,110,23.59
556-51-1847,9,12,4,0,3,1,3,68,15.82
374-15-6121,20,17,5,1,4,11,6,107,26.73
849-63-1875,11,6,2,0,3,7,6,83,17.86
572-22-3824,12,19,0,0,5,7,7,98,23.03
804-42-1778,6,8,5,0,5,6,4,70,15.39
803-88-5844,10,18,1,0,5,8,3,64,17.22
827-96-4253,15,3,2,0,1,4,2,48,12.32
492-71-3099,5,5,4,0,3,3,3,108,19.6
700-05-5703,10,3,1,0,1,6,6,15,6.4
760-72-6455,11,17,2,1,2,11,8,49,15.36
554-21-4563,4,5,0,1,1,10,6,103,18.81
186-74-5445,19,7,5,0,0,12,4,113,24.88
452-70-5102,9,18,3,1,1,8,7,2,7.68
488-61-6938,18,7,2,0,4,5,2,88,20.29
478-18-0264,2,10,0,1,3,1,5,60,12.22
332-38-5774,8,10,1,1,4,10,1,88,18.74
413-94-4324,4,10,2,0,1,9,1,105,19.92
531-95-0107,6,11,3,0,5,10,6,87,18.8
722-61-6415,16,5,1,1,4,2,10,119,24.12
442-55-1713,19,4,3,0,1,12,6,15,9.59
287-81-2079,6,19,2,1,4,9,1,64,16.45
108-46-8846,5,3,1,1,2,5,5,87,15.97
838-54-6923,4,13,0,0,0,10,5,52,12.55
290-63-7823,15,6,0,1,1,6,1,4,6.3
568-91-6935,12,11,4,0,2,9,7,18,9.68
869-95-4101,20,4,3,0,2,7,7,53,15.25
228-54-4036,2,6,0,1,2,2,8,39,8.4
838-48-8787,18,19,1,1,4,5,9,63,19.24
849-04-6188,8,2,5,1,3,10,2,9,5.63
787-64-3880,8,11,0,1,3,1,9,20,8.12
378-29-9637,12,11,1,0,5,2,2,49,13.48
178-42-7033,5,14,0,0,0,8,4,46,11.87
683-91-5529,16,5,1,0,5,7,10,3,7.23
405-02-7662,18,11,3,0,1,11,2,16,10.6
158-39-1642,2,10,4,0,4,10,7,108,20.79
258-28-7706,5,15,2,1,1,8,9,89,19.13
133-97-9833,18,13,4,0,0,12,4,4,9.38
697-42-6968,4,14,3,0,2,8,4,18,7.94
312-45-8127,16,1,3,0,0,10,5,20,8.65
435-71-6950,19,2,0,0,3,8,1,95,20.5
679-13-2509,2,12,2,0,1,4,6,108,20.07
411-97-7244,17,1,3,1,0,8,2,82,17.92
355-99-8906,17,17,0,0,2,2,5,101,23.45
766-22-7209,11,13,5,0,0,5,8,23,10.15
676-59-9049,11,5,2,1,2,4,9,77,16.58
765-75-9626,5,4,0,1,4,11,7,58,12.58
785-27-6274,14,9,5,0,0,1,6,75,17.44
245-95-8077,6,6,2,0,1,12,4,54,12.39
285-63-4089,5,11,3,1,1,9,6,37,10.57
497-36-1874,5,3,1,1,0,8,8,61,12.27
593-17-3972,2,11,0,0,0,9,9,45,10.71
680-80-1518,6,12,5,1,5,6,8,69,16.29
341-99-3721,11,16,1,1,2,8,5,32,12.09
285-87-2585,16,17,4,1,5,5,5,61,18.25
481-41-9166,8,3,5,0,5,7,10,89,18.13
235-35-1099,13,7,5,0,1,2,8,116,23.24
653-97-8726,15,3,4,0,2,11,4,111,22.81
145-73-2875,11,10,5,0,0,6,2,61,15.04
228-62-2736,15,1,4,0,2,12,2,48,12.95
639-45-9848,15,10,0,0,4,11,5,110,23.93
263-80-5640,3,15,2,0,1,11,8,118,23.15
281-19-5976,17,20,4,1,4,1,6,36,14.93
829-01-1172,4,10,1,0,5,4,6,37,9.86
840-03-0799,15,16,5,1,2,7,5,23,12.05
779-26-9639,6,6,5,1,4,10,6,96,19.29
845-13-7328,17,7,2,0,2,12,7,64,17.1
671-80-0488,8,20,3,0,2,5,1,35,12.27
808-66-2667,16,16,2,0,5,1,6,14,10.44
780-06-4589,9,8,2,1,4,3,10,5,6.06
819-14-7158,11,15,1,1,1,6,3,104,22.3
478-24-6066,14,14,1,0,3,6,1,30,11.82
463-86-3179,16,3,4,1,0,11,10,86,19.44
802-77-2295,16,19,5,1,3,8,2,102,24.8
818-79-5410,16,8,3,1,1,8,8,23,10.63
231-90-5615,6,9,4,0,2,7,8,45,11.7
315-14-8162,7,15,2,0,4,10,2,77,17.94
175-53-7917,15,6,4,1,5,9,10,49,14.61
392-21-2774,12,8,2,1,5,2,1,21,8.78
467-06-1908,13,15,5,0,1,1,3,30,11.6
486-86-7925,10,14,1,0,3,5,5,88,19.63
254-68-5664,20,15,5,1,5,2,9,8,10.93
816-42-1709,1,18,1,1,1,5,8,35,10.21
378-13-9411,13,16,3,1,5,7,8,11,10.03
623-83-3437,15,14,4,1,0,8,3,64,17.47
525-61-6711,17,4,5,0,2,6,5,119,24.41
719-59-6011,15,16,3,0,1,11,7,93,22.65
225-46-7514,8,16,3,1,5,5,8,13,8.9
334-91-5051,3,20,1,0,3,1,6,74,16.67
554-54-2631,2,6,4,0,5,5,6,32,8.2
185-76-8859,19,13,2,1,0,12,10,80,21.18
798-84-4263,19,16,4,0,0,2,4,16,11.13
811-88-1502,20,4,5,0,1,8,10,35,12.88
487-54-7862,5,2,1,0,0,8,5,112,19.52
196-47-2733,2,2,1,1,2,11,8,46,9.56
701-05-0656,2,2,4,0,2,7,1,44,8.8
483-12-6794,10,12,1,1,0,1,1,107,21.24
601-39-2729,9,14,2,0,0,8,10,118,24.17
355-24-7889,16,10,3,0,5,9,2,47,14.81
591-64-9037,20,1,0,1,1,12,5,58,15.39
157-57-4547,19,5,5,1,2,5,9,78,19.12
187-40-9022,13,10,1,1,2,7,9,105,22.45
490-62-6783,2,3,0,1,1,3,1,85,14.33
795-84-7456,13,4,4,0,4,9,5,96,20.35
429-39-5397,12,8,4,1,2,6,10,92,20.11
850-13-9937,7,6,4,0,1,1,10,76,15.45
781-97-0966,14,10,0,1,1,11,8,113,24
382-54-8269,18,3,1,0,0,9,10,50,14.01
104-30-3499,7,5,5,0,4,7,9,57,13.32
870-82-3617,6,2,4,1,4,10,4,99,18.74
172-28-9479,3,2,2,1,5,11,3,68,13.29
198-12-1713,9,4,2,1,4,4,6,98,19.1
487-87-0182,16,14,0,0,2,3,9,71,18.39
593-72-3054,19,9,4,1,0,7,5,63,17.33
328-37-1325,9,13,3,0,0,11,1,65,15.94
607-49-8298,9,11,1,0,1,1,5,116,22.4
700-93-5976,4,16,2,0,2,10,3,10,7.17
858-50-4610,7,10,1,1,3,2,8,5,5.56
668-40-7221,18,1,0,1,1,8,10,110,22.58
380-96-3808,11,14,3,1,3,3,10,56,15.4
814-22-9560,3,20,1,1,5,2,1,50,13.18
863-08-7416,18,9,2,0,0,1,2,70,17.19
238-24-1506,5,16,4,0,3,3,4,106,21.55
575-56-4899,18,3,0,0,3,9,7,47,13.64
616-53-3070,16,15,3,0,2,5,10,58,17.17
778-44-6988,1,15,5,0,3,12,3,27,9.36
119-94-0743,3,4,2,0,2,7,7,10,4.45
799-15-9749,6,9,1,1,3,4,4,10,5.84
212-61-2032,16,1,5,0,1,6,2,24,9.05
612-76-1526,4,11,0,0,2,4,1,89,17.18
775-32-5907,18,8,5,1,1,4,9,111,24.22
279-72-5350,15,10,0,0,1,10,5,36,12.41
146-13-1925,12,11,4,0,3,7,3,38,12.41
850-24-6316,8,12,1,1,1,3,2,18,7.73
770-77-9300,7,7,2,0,3,4,8,53,12.39
526-71-6311,17,1,3,0,0,4,8,79,17.36
743-19-4042,4,3,2,0,0,6,9,22,6.09
853-77-3042,15,17,2,0,3,5,6,120,26.43
412-97-3582,10,4,3,0,1,10,7,31,9.61
432-44-4937,16,3,2,0,1,1,8,63,14.85
290-40-7878,2,16,4,1,4,11,10,79,17.93
323-20-6524,5,6,1,1,0,10,3,85,16.4
524-67-0808,10,11,3,0,5,11,5,86,19.69
168-26-9738,15,19,1,0,1,7,2,108,24.69
250-04-5638,3,7,5,0,4,6,2,27,7.78
572-78-0613,3,2,1,1,5,5,6,72,13.4
706-54-0392,4,2,5,0,0,11,9,109,19.69
597-03-4759,14,17,4,1,3,12,5,30,13.51
197-98-1208,8,3,2,1,1,2,2,13,5.19
312-24-9763,11,1,3,1,5,2,10,1,4.68
493-77-9411,18,8,2,0,3,5,5,81,19.48
333-04-0878,18,5,5,1,1,12,5,51,15.14
714-36-7268,13,18,1,1,3,2,3,63,17.11
617-78-2662,5,14,0,0,2,9,9,66,15.43
830-80-9875,20,17,0,1,5,10,9,63,19.8
196-08-0009,4,10,2,0,1,7,8,41,10.49
840-11-5296,5,15,5,1,0,9,8,104,21.61
458-64-1509,8,18,5,1,3,9,3,59,16.29
625-23-0975,6,3,3,0,2,6,1,15,5.46
215-25-4321,5,10,3,1,5,3,3,75,15.82
230-74-0663,5,16,0,0,2,8,6,104,21.29
718-41-7618,13,15,5,0,0,9,10,120,26.06
524-76-7460,12,8,0,0,3,7,5,10,7.31
610-95-5597,5,11,0,1,4,3,6,64,14.11
639-55-4992,15,12,3,1,1,3,10,47,14.43
229-05-6612,4,12,2,1,3,4,1,117,21.94
257-90-7401,9,1,5,1,5,1,3,109,20.14
562-46-2421,5,18,0,0,0,12,4,110,22.63
351-35-0778,4,20,1,1,5,7,2,15,8.68
584-88-6201,5,16,5,1,2,11,1,17,8.81
594-16-9868,14,10,3,1,4,5,8,91,20.79
390-28-6994,19,8,1,0,2,6,1,76,18.66
472-90-5048,3,18,3,0,3,11,10,111,23.12
117-78-7102,9,13,1,1,3,1,10,49,13.27
344-96-2842,17,10,3,1,4,1,4,26,11.23
242-62-9239,12,6,4,1,5,8,3,109,22.42
834-42-9647,15,11,5,1,3,2,7,18,10.06
796-29-5114,4,16,1,1,3,10,5,71,16.48
334-73-2167,16,1,4,1,2,3,4,118,23.04
664-17-4190,16,1,2,1,0,6,10,33,10.44
550-47-0488,17,15,5,1,0,6,2,68,18.64
586-11-3596,13,12,0,0,2,11,1,93,20.86
458-48-0693,16,9,4,1,0,5,10,105,22.95
787-06-7356,18,19,1,1,4,5,1,60,18.39
391-92-9519,8,7,2,1,5,2,2,23,7.93
345-98-1858,4,2,0,0,0,12,3,93,16.58
154-06-3551,16,20,3,1,3,1,3,13,10.87
278-89-8725,19,13,3,0,2,7,4,68,18.9
197-17-2683,11,4,3,0,4,1,3,21,7.68
400-13-1153,3,8,2,0,5,6,3,33,8.74
478-41-6998,3,18,4,1,0,11,8,99,21.04
186-50-5039,7,9,5,0,1,10,3,30,9.71
571-65-5632,3,16,0,1,2,9,1,51,12.73
283-34-1358,18,19,3,0,0,12,8,59,18.93
365-36-3302,3,5,2,0,3,4,4,70,13.34
143-62-7407,15,20,5,0,5,10,1,106,25.65
607-61-0279,4,17,2,0,2,8,3,64,15.29
148-92-3026,18,14,4,0,5,2,10,80,20.93
318-99-4524,7,13,2,1,0,5,10,102,20.85
753-81-5593,15,12,4,0,3,6,8,76,19.22
189-62-8701,15,4,3,1,3,7,6,83,18.61
428-80-1324,8,19,2,1,4,5,5,22,10.49
478-76-3092,2,19,1,1,2,5,8,58,14.22
452-69-4949,9,15,0,0,1,10,3,85,19.16
586-35-1491,8,8,3,1,5,8,8,97,20.17
834-54-3380,20,12,3,0,0,4,7,116,25.81
246-54-1644,7,14,4,0,0,12,4,77,17.78
656-10-7361,1,17,3,0,0,4,6,77,16.16
744-65-3632,18,11,5,0,5,9,10,56,17.46
500-60-2795,20,18,0,0,5,9,5,17,12.76
209-04-7708,15,12,0,1,0,5,1,84,19.3
636-51-8497,13,6,5,1,5,4,8,6,7.21
239-87-7567,4,10,3,0,4,9,10,79,16.9
630-73-5302,15,10,1,0,3,1,9,90,20.22
676-41-7739,12,18,5,0,2,1,9,79,19.71
134-46-9257,15,3,3,0,2,3,9,64,15.19
529-38-6435,2,11,3,0,4,1,7,27,7.93
559-18-3764,17,17,4,0,2,6,5,102,24.36
555-15-5878,8,4,2,0,4,10,5,119,22.44
131-57-1352,15,2,0,1,5,6,7,94,19.74
164-86-0190,2,5,4,1,2,11,2,31,7.91
198-64-5501,16,12,0,1,2,10,6,63,17.32
431-37-9124,2,19,4,1,4,7,8,31,10.87
848-97-9758,18,3,4,0,3,10,8,98,21.83
593-77-6491,8,7,0,1,3,4,9,6,5.49
722-22-8739,15,16,3,1,4,8,5,70,19.21
448-21-2214,8,11,3,1,0,8,3,77,16.97
795-15-2468,6,15,0,0,3,11,4,24,9.62
118-22-6720,12,4,5,1,5,1,4,17,7.74
330-15-6617,16,3,2,0,4,4,10,44,12.7
484-27-0972,13,1,5,1,0,1,1,14,6.24
329-91-2039,3,7,3,1,4,1,6,97,17.88
574-74-4682,7,2,3,1,1,8,6,38,9.33
170-14-0264,12,1,4,1,5,12,8,31,10.33
408-08-5520,16,15,2,1,4,10,10,58,17.79
504-45-4507,4,17,5,0,3,4,3,43,12.19
198-22-5301,5,5,1,0,0,12,10,57,12.48
407-30-2939,6,9,0,1,1,12,6,42,11.14
519-79-0683,13,8,3,1,3,10,10,95,21.18
357-83-1063,13,1,5,0,3,2,7,90,18.31
765-18-8140,17,8,1,0,5,10,5,70,18.15
370-75-4782,11,5,1,0,1,9,10,89,18.62
313-59-6109,5,9,1,1,2,12,10,96,19.4
164-46-5907,3,15,1,1,1,9,4,116,22.42
543-40-8270,12,3,1,1,5,2,6,99,19.63
175-62-7902,1,19,4,1,4,4,2,79,17.25
527-70-1704,20,8,4,1,3,12,8,111,25.51
555-23-6510,8,11,2,0,4,7,2,62,14.87
859-73-9122,5,19,0,1,0,2,9,99,20.58
698-29-5169,4,19,2,0,2,2,2,0,5.5
362-66-9071,20,8,1,1,5,10,8,98,23.3
831-91-2014,4,14,0,0,1,12,7,27,9.39
799-38-4399,10,4,3,1,2,2,2,84,16.75
167-09-4862,16,17,3,1,2,12,5,110,25.8
647-04-4562,13,18,3,1,0,1,1,100,22.34
419-52-3930,11,14,5,1,2,8,1,3,7.54
798-05-2130,2,19,4,0,4,2,9,6,6.67
385-25-2292,15,14,3,1,2,7,7,2,8.4
651-30-0088,5,6,5,0,5,12,4,45,11.53
133-42-0510,2,5,2,0,0,7,8,61,11.88
678-71-7439,18,2,3,1,3,9,6,101,21.84
264-52-8973,20,5,4,1,0,8,2,96,21.67
418-48-8275,16,3,2,1,3,2,5,60,14.61
401-88-9557,1,3,0,1,0,4,9,115,18.96
504-49-4983,15,10,3,0,5,11,5,3,8.29
274-76-9035,5,17,2,0,2,3,6,1,5.79
603-71-9347,2,18,1,0,5,1,4,87,18.09
420-77-6886,5,6,1,1,1,4,2,32,7.97
705-40-4194,7,2,2,0,4,6,10,39,9.68
576-87-3402,15,1,5,1,4,6,5,15,7.98
386-73-5299,11,5,2,0,0,7,4,108,20.98
868-35-7590,13,1,4,0,1,10,6,7,6.21
525-24-5050,17,11,3,1,2,7,9,97,22.65
358-05-0361,13,5,4,1,3,10,10,25,10.18
284-29-1287,8,19,5,1,4,3,3,107,23.26
871-21-2249,7,20,0,1,2,4,2,94,20.58
377-79-9044,12,9,0,1,0,5,9,37,11.3
747-90-3567,11,2,4,0,4,3,2,38,10.06
295-25-7944,9,1,4,0,5,7,6,91,17.98
782-01-7863,16,16,3,0,1,4,3,116,25.52
532-70-2357,2,9,4,0,0,5,4,28,7.55
285-64-9249,13,2,1,1,5,1,8,100,19.84
762-12-2041,6,15,2,1,2,7,10,8,7.3
823-16-4890,13,9,5,1,4,2,6,45,13.27
533-42-3925,17,15,5,0,2,6,10,66,18.91
136-62-5979,5,4,5,1,4,9,10,11,6
214-75-4726,15,19,4,0,1,2,1,107,24.34
536-23-1025,4,2,3,0,2,4,2,107,18.43
364-51-2149,12,13,3,1,2,5,2,36,12.12
167-12-8749,4,17,0,1,3,8,4,46,12.6
262-58-4226,5,5,0,1,4,7,3,19,6.37
687-83-7547,18,19,3,0,0,6,5,84,21.99
250-95-2808,7,7,5,1,5,1,6,80,16.64
493-65-9637,13,6,0,0,0,4,8,68,15.41
572-36-2000,11,20,4,0,4,6,9,32,13.38
466-19-6333,14,16,0,1,2,12,4,12,10.05
509-54-1760,2,11,5,1,2,2,3,30,8.3
556-65-2319,18,9,3,1,5,9,6,16,10.71
359-74-8299,1,18,1,1,3,5,4,119,22.83
325-16-7676,18,20,3,0,1,12,7,112,27.14
521-92-8743,18,12,2,1,3,11,1,60,17.52
173-93-6495,18,16,5,1,1,8,6,2,9.68
324-47-8320,17,2,4,1,1,10,7,44,13.06
633-22-5059,4,14,1,0,0,5,5,114,21.7
237-16-6876,3,3,4,0,1,10,6,53,11.01
668-24-3934,12,18,3,0,3,9,5,9,9.64
327-23-7903,14,16,3,0,4,6,4,53,16.13
715-73-2897,18,12,1,0,2,5,7,96,22.42
132-49-0271,19,15,1,1,0,5,5,51,16.25
392-37-9512,13,1,4,1,1,7,8,87,18.09
850-14-5585,12,13,2,0,4,1,10,83,19.28
790-67-0041,12,16,2,0,3,12,3,77,19.51
680-96-6640,18,9,2,0,4,6,6,3,8.23
494-62-6460,19,16,3,0,5,7,3,89,22.93
183-30-9487,10,15,1,0,1,9,9,65,16.72
798-72-7287,1,16,1,0,3,7,2,92,18.41
711-28-5073,12,18,0,1,4,5,9,51,15.64
