EmpID,CTC ,Salary,Health Insurance,Life Insurance,Pension Plan,Vaccation,Child Care,Performance Bonus,EquityShare,Finance Metrics
713-38-9733,174015.44,121810.808,8700.77,6960.62,19141.7,6,6960.62,3480.31,3,143.58
831-09-8162,83916.02,58741.214,4195.8,3356.64,9230.76,20,3356.64,1678.32,5,69.25
829-19-2408,64377.47,45064.229,3218.87,2575.1,7081.52,16,2575.1,1287.55,10,53.12
723-06-2076,71079.1,49755.37,3553.96,2843.16,7818.7,7,2843.16,1421.58,9,58.65
640-01-7055,30405.34,21283.738,1520.27,1216.21,3344.59,1,1216.21,608.11,8,25.11
714-35-4189,37023.7,25916.59,1851.19,1480.95,4072.61,4,1480.95,740.47,5,30.56
897-37-4431,175965.88,123176.116,8798.29,7038.64,19356.25,18,7038.64,3519.32,8,145.19
811-86-7613,175559.27,122891.489,8777.96,7022.37,19311.52,12,7022.37,3511.19,2,144.84
368-12-6826,76412.46,53488.722,3820.62,3056.5,8405.37,7,3056.5,1528.25,10,63.05
536-38-7607,67504.43,47253.101,3375.22,2700.18,7425.49,1,2700.18,1350.09,5,55.72
422-35-8487,146597.3,102618.11,7329.87,5863.89,16125.7,20,5863.89,2931.95,0,120.96
588-02-8026,189464.17,132624.919,9473.21,7578.57,20841.06,15,7578.57,3789.28,4,156.32
677-10-6833,131240.2,91868.14,6562.01,5249.61,14436.42,7,5249.61,2624.8,10,108.29
385-81-8581,154186.14,107930.298,7709.31,6167.45,16960.48,10,6167.45,3083.72,10,127.21
173-70-1880,60000.05,42000.035,3000,2400,6600.01,9,2400,1200,5,49.51
828-61-6082,69238.06,48466.642,3461.9,2769.52,7616.19,1,2769.52,1384.76,1,57.14
651-62-5522,112516.18,78761.326,5625.81,4500.65,12376.78,1,4500.65,2250.32,10,92.85
549-19-6100,31337.07,21935.949,1566.85,1253.48,3447.08,1,1253.48,626.74,6,25.88
296-07-8199,146331.72,102432.204,7316.59,5853.27,16096.49,16,5853.27,2926.63,7,120.73
640-06-5483,151991.89,106394.323,7599.59,6079.68,16719.11,4,6079.68,3039.84,3,125.41
847-11-1552,148663.26,104064.282,7433.16,5946.53,16352.96,3,5946.53,2973.27,2,122.67
556-51-1847,140397.11,98277.977,7019.86,5615.88,15443.68,8,5615.88,2807.94,6,115.84
374-15-6121,32402.75,22681.925,1620.14,1296.11,3564.3,19,1296.11,648.06,6,26.75
849-63-1875,175752.93,123027.051,8787.65,7030.12,19332.82,1,7030.12,3515.06,4,145.02
572-22-3824,36612.87,25629.009,1830.64,1464.51,4027.42,19,1464.51,732.26,10,30.22
804-42-1778,75815.86,53071.102,3790.79,3032.63,8339.74,14,3032.63,1516.32,2,62.55
803-88-5844,64271.12,44989.784,3213.56,2570.84,7069.82,20,2570.84,1285.42,6,53.04
827-96-4253,102543.19,71780.233,5127.16,4101.73,11279.75,2,4101.73,2050.86,1,84.62
492-71-3099,92828.58,64980.006,4641.43,3713.14,10211.14,16,3713.14,1856.57,6,76.59
700-05-5703,75625.26,52937.682,3781.26,3025.01,8318.78,1,3025.01,1512.51,1,62.41
760-72-6455,24076.08,16853.256,1203.8,963.04,2648.37,4,963.04,481.52,3,19.88
554-21-4563,38571.52,27000.064,1928.58,1542.86,4242.87,9,1542.86,771.43,0,31.83
186-74-5445,192595.35,134816.745,9629.77,7703.81,21185.49,5,7703.81,3851.91,5,158.91
452-70-5102,178560.52,124992.364,8928.03,7142.42,19641.66,15,7142.42,3571.21,10,147.32
488-61-6938,46664.81,32665.367,2333.24,1866.59,5133.13,1,1866.59,933.3,1,38.52
478-18-0264,166968.41,116877.887,8348.42,6678.74,18366.53,11,6678.74,3339.37,8,137.75
332-38-5774,153742.71,107619.897,7687.14,6149.71,16911.7,18,6149.71,3074.85,5,126.85
413-94-4324,39016.97,27311.879,1950.85,1560.68,4291.87,7,1560.68,780.34,6,32.20
531-95-0107,154302.47,108011.729,7715.12,6172.1,16973.27,16,6172.1,3086.05,6,127.31
722-61-6415,28810.67,20167.469,1440.53,1152.43,3169.17,2,1152.43,576.21,5,23.79
442-55-1713,111848.12,78293.684,5592.41,4473.92,12303.29,1,4473.92,2236.96,9,92.30
287-81-2079,111605.08,78123.556,5580.25,4464.2,12276.56,7,4464.2,2232.1,1,92.08
108-46-8846,79246.8,55472.76,3962.34,3169.87,8717.15,6,3169.87,1584.94,4,65.39
838-54-6923,105731.53,74012.071,5286.58,4229.26,11630.47,14,4229.26,2114.63,10,87.24
290-63-7823,57458.92,40221.244,2872.95,2298.36,6320.48,12,2298.36,1149.18,2,47.40
568-91-6935,131037.2,91726.04,6551.86,5241.49,14414.09,3,5241.49,2620.74,6,108.13
869-95-4101,52228.77,36560.139,2611.44,2089.15,5745.16,2,2089.15,1044.58,0,43.11
228-54-4036,124689.14,87282.398,6234.46,4987.57,13715.81,8,4987.57,2493.78,4,102.88
838-48-8787,148685.63,104079.941,7434.28,5947.43,16355.42,3,5947.43,2973.71,8,122.69
849-04-6188,175089.03,122562.321,8754.45,7003.56,19259.79,18,7003.56,3501.78,10,144.46
787-64-3880,47579.34,33305.538,2378.97,1903.17,5233.73,13,1903.17,951.59,7,39.26
378-29-9637,36572.66,25600.862,1828.63,1462.91,4022.99,10,1462.91,731.45,10,30.18
178-42-7033,170643.86,119450.702,8532.19,6825.75,18770.82,7,6825.75,3412.88,0,140.79
683-91-5529,36464.69,25525.283,1823.23,1458.59,4011.12,8,1458.59,729.29,3,30.09
405-02-7662,188866.95,132206.865,9443.35,7554.68,20775.36,17,7554.68,3777.34,3,155.83
158-39-1642,45455.22,31818.654,2272.76,1818.21,5000.07,3,1818.21,909.1,1,37.52
258-28-7706,183014.97,128110.479,9150.75,7320.6,20131.65,8,7320.6,3660.3,2,151.00
133-97-9833,110084.95,77059.465,5504.25,4403.4,12109.34,1,4403.4,2201.7,3,90.84
697-42-6968,62019.28,43413.496,3100.96,2480.77,6822.12,5,2480.77,1240.39,7,51.18
312-45-8127,163815.03,114670.521,8190.75,6552.6,18019.65,4,6552.6,3276.3,2,135.16
435-71-6950,106750.11,74725.077,5337.51,4270,11742.51,1,4270,2135,6,88.09
679-13-2509,55155.47,38608.829,2757.77,2206.22,6067.1,8,2206.22,1103.11,0,45.51
411-97-7244,142282.83,99597.981,7114.14,5691.31,15651.11,7,5691.31,2845.66,2,117.39
355-99-8906,40779.79,28545.853,2038.99,1631.19,4485.78,6,1631.19,815.6,5,33.66
766-22-7209,34167.92,23917.544,1708.4,1366.72,3758.47,20,1366.72,683.36,2,28.21
676-59-9049,123295.84,86307.088,6164.79,4931.83,13562.54,6,4931.83,2465.92,4,101.73
765-75-9626,177311.24,124117.868,8865.56,7092.45,19504.24,11,7092.45,3546.22,3,146.28
785-27-6274,174523.98,122166.786,8726.2,6980.96,19197.64,11,6980.96,3490.48,3,143.99
245-95-8077,131823.13,92276.191,6591.16,5272.93,14500.54,6,5272.93,2636.46,7,108.77
285-63-4089,76281.58,53397.106,3814.08,3051.26,8390.97,9,3051.26,1525.63,0,62.94
497-36-1874,113254.66,79278.262,5662.73,4530.19,12458.01,5,4530.19,2265.09,1,93.45
593-17-3972,114226.92,79958.844,5711.35,4569.08,12564.96,12,4569.08,2284.54,0,94.24
680-80-1518,51011.85,35708.295,2550.59,2040.47,5611.3,11,2040.47,1020.24,7,42.09
341-99-3721,101376.89,70963.823,5068.84,4055.08,11151.46,18,4055.08,2027.54,8,83.65
285-87-2585,93512.97,65459.079,4675.65,3740.52,10286.43,12,3740.52,1870.26,7,77.15
481-41-9166,117709.29,82396.503,5885.46,4708.37,12948.02,18,4708.37,2354.19,8,97.13
235-35-1099,116232.19,81362.533,5811.61,4649.29,12785.54,1,4649.29,2324.64,8,95.92
653-97-8726,131886.45,92320.515,6594.32,5275.46,14507.51,11,5275.46,2637.73,7,108.81
145-73-2875,58206.58,40744.606,2910.33,2328.26,6402.72,8,2328.26,1164.13,9,48.03
228-62-2736,160200.04,112140.028,8010,6408,17622,13,6408,3204,1,132.17
639-45-9848,168046.33,117632.431,8402.32,6721.85,18485.1,18,6721.85,3360.93,10,138.65
263-80-5640,102945.1,72061.57,5147.26,4117.8,11323.96,10,4117.8,2058.9,6,84.94
281-19-5976,64796.09,45357.263,3239.8,2591.84,7127.57,4,2591.84,1295.92,6,53.48
829-01-1172,58615.78,41031.046,2930.79,2344.63,6447.74,2,2344.63,1172.32,8,48.38
840-03-0799,116326.44,81428.508,5816.32,4653.06,12795.91,11,4653.06,2326.53,6,95.97
779-26-9639,170736.7,119515.69,8536.84,6829.47,18781.04,2,6829.47,3414.73,8,140.88
845-13-7328,179692.73,125784.911,8984.64,7187.71,19766.2,9,7187.71,3593.85,6,148.25
671-80-0488,24719.21,17303.447,1235.96,988.77,2719.11,14,988.77,494.38,3,20.40
808-66-2667,194519.47,136163.629,9725.97,7780.78,21397.14,5,7780.78,3890.39,1,160.49
780-06-4589,154198.97,107939.279,7709.95,6167.96,16961.89,3,6167.96,3083.98,6,127.23
819-14-7158,98273.78,68791.646,4913.69,3930.95,10810.12,18,3930.95,1965.48,3,81.09
478-24-6066,171440.04,120008.028,8572,6857.6,18858.4,2,6857.6,3428.8,0,141.46
463-86-3179,98143.8,68700.66,4907.19,3925.75,10795.82,13,3925.75,1962.88,0,80.97
802-77-2295,191533.75,134073.625,9576.69,7661.35,21068.71,14,7661.35,3830.68,5,158.02
818-79-5410,39252.82,27476.974,1962.64,1570.11,4317.81,10,1570.11,785.06,0,32.39
231-90-5615,146771.8,102740.26,7338.59,5870.87,16144.9,16,5870.87,2935.44,10,121.10
315-14-8162,78932.21,55252.547,3946.61,3157.29,8682.54,14,3157.29,1578.64,8,65.13
175-53-7917,182013.93,127409.751,9100.7,7280.56,20021.53,15,7280.56,3640.28,0,150.17
392-21-2774,190288.57,133201.999,9514.43,7611.54,20931.74,3,7611.54,3805.77,3,157.01
467-06-1908,136715.34,95700.738,6835.77,5468.61,15038.69,20,5468.61,2734.31,1,112.81
486-86-7925,157539.61,110277.727,7876.98,6301.58,17329.36,6,6301.58,3150.79,7,129.98
254-68-5664,92660.65,64862.455,4633.03,3706.43,10192.67,6,3706.43,1853.21,2,76.46
816-42-1709,35399.58,24779.706,1769.98,1415.98,3893.95,19,1415.98,707.99,1,29.22
378-13-9411,199682.87,139778.009,9984.14,7987.31,21965.12,14,7987.31,3993.66,0,164.74
623-83-3437,33120.15,23184.105,1656.01,1324.81,3643.22,9,1324.81,662.4,9,27.33
