EmpID,Name,Age,Gender,Sleeping Hours,Stress level,Medication,Hours of Meditation,Life Satisfaction,Relationship Status,Relationship Satisfaction,Acheivements,EQ,Mental Check up Score
389-83-3341,Gerladina Coutts,43,Non-binary,10,2.1,0,0,1,3,1,5,105.9,8.497
722-99-4130,Ivor Ensten,41,Male,4,9.9,1,1,0,2,1,3,85,3.725
484-29-5794,Aguie Casford,20,Polygender,4,9.1,1,2,5,3,2,1,96.5,5.472
644-78-6787,Leonanie Demare,25,Genderfluid,11,1.6,1,2,3,2,2,1,46.4,3.266
340-65-4320,Sauncho Adie,59,Bigender,9,3.9,1,2,4,7,5,5,75.9,6.194
421-96-9008,Garrott Byrde,60,Bigender,11,8.2,1,1,4,3,3,11,50.3,2.384
439-01-2577,Les Daglish,60,Genderqueer,13,1.1,1,2,1,6,5,11,102.4,7.934
356-65-9544,Beryle Guiel,34,Bigender,7,3.9,0,2,1,6,2,4,88.6,6.536
522-17-2473,Lew Boynes,41,Polygender,8,6.4,1,2,2,1,2,9,69.3,4.717
846-21-3275,Lavinie Sleet,56,Genderfluid,12,7.8,1,2,1,3,2,12,44.1,1.53
264-59-3547,Ives Aitchison,49,Agender,10,4,1,1,2,6,1,3,101,7.719
289-37-8623,Tab Loghan,19,Non-binary,14,8.2,1,0,4,5,2,2,58.6,1.977
486-24-7101,Kati Northway,30,Genderqueer,8,8.4,1,2,2,4,5,3,35.9,1.246
572-76-6388,Dorolice Duckhouse,47,Male,9,3.2,1,2,2,6,3,4,75.9,6.144
698-84-7290,Chicky Stanluck,23,Non-binary,12,6,1,1,5,5,1,11,69.7,4.441
125-28-6940,Tallulah Shaplin,56,Agender,9,5.7,1,1,4,1,5,1,71.6,5.196
303-05-8271,Charlotta Shewan,41,Genderqueer,9,3.2,0,0,1,1,1,9,84.2,6.74
478-06-4299,Billi Yurocjhin,55,Male,10,3.8,0,0,4,3,3,5,94.4,7.34
233-18-5047,Isadora Titterrell,59,Bigender,11,8,0,1,0,2,1,2,92.7,5.685
281-12-4721,Noe Cashmore,27,Genderfluid,7,3.7,0,2,5,3,4,1,105.9,8.419
290-09-2503,Howard Botterell,32,Bigender,5,4,0,0,2,3,3,1,71.4,4.146
324-15-4305,Artur Hansed,23,Female,5,7.1,0,0,5,6,4,7,32,0.417
739-82-8145,Mehetabel Haskew,38,Agender,11,5.6,1,0,3,1,4,12,52.1,3.028
572-45-4226,Alidia Davidavidovics,53,Genderfluid,10,3.8,0,2,3,2,5,1,89,6.969
128-55-4312,Sophie Mudle,34,Non-binary,13,3.3,0,0,1,2,3,7,65.9,3.899
889-07-1040,Maddy Ommundsen,22,Genderfluid,10,1.5,0,2,3,6,2,12,94.5,8.314
805-60-2039,Ricca Beat,24,Polygender,14,7.3,1,1,4,1,2,1,58,2.169
624-41-9651,Carolyne Starmer,25,Polygender,13,7.8,0,1,3,5,5,3,73.7,3.901
420-70-7277,Ashia Heasman,57,Genderfluid,8,1.2,1,0,1,3,4,8,100,8.245
733-68-3802,Cindra Brocks,32,Genderfluid,6,1,0,2,2,7,4,9,45,3.21
221-47-2870,Meghan Weall,22,Non-binary,4,4.6,0,0,2,4,1,10,27.8,0.06
557-95-8752,Tiffi Borres,22,Male,8,4.5,0,2,2,6,1,2,46.4,2.955
679-20-3452,Baird Jostan,57,Bigender,6,3.2,1,1,3,1,2,8,77.7,5.418
898-60-7927,Fredek Sisland,36,Bigender,7,9,1,0,2,5,3,6,64.2,3.131
582-02-0057,Nariko Phillipp,41,Polygender,14,1,0,2,5,6,1,12,70.4,5.07
337-21-3249,Marya Ridley,51,Genderqueer,14,7.2,0,2,1,7,4,3,102.8,6.193
689-53-0416,Stormi Sykes,19,Polygender,13,1.7,0,2,3,5,3,8,84.9,6.439
291-31-9214,Jude McCome,46,Male,14,4.3,1,0,2,6,3,2,49.8,1.767
103-48-8949,Annis Dobie,20,Agender,12,4.4,1,0,1,7,1,8,71.3,4.451
393-74-2259,Sigrid Withey,54,Agender,8,9,0,0,1,1,3,11,80.5,4.97
277-86-5108,Sophie Haley,34,Agender,6,9,1,0,3,5,2,3,60.5,2.456
808-66-7639,Kelli Adan,27,Bigender,12,9.7,0,1,1,5,4,10,62.7,2.841
205-19-2596,Wit Hadenton,22,Non-binary,11,2.2,1,0,2,5,5,5,49.6,3.346
311-37-2045,Nicoli Larkings,41,Female,10,3.2,0,1,1,5,5,8,108,8.792
618-74-1973,Barny Sailor,60,Genderfluid,5,3.3,1,1,0,1,5,1,44.1,1.735
298-55-8193,Ricoriki Highman,20,Genderfluid,6,2.4,0,0,1,3,3,9,96.4,7.27
439-53-6005,Erica Cousans,29,Genderqueer,7,1.8,1,0,3,4,3,8,38.6,2.5
606-76-6531,Hadria Purse,22,Agender,14,8.5,1,2,3,2,1,1,32.2,-0.373
487-77-2868,Tod Bettleson,50,Genderfluid,8,3.7,0,1,0,2,3,6,60.3,4.176
140-69-2133,Cyndie Gallagher,30,Agender,12,6.4,0,2,2,1,5,4,97,6.645
826-96-7247,Glynda Storres,38,Genderfluid,9,6.1,1,2,4,4,3,10,99,7.964
557-85-2983,Stafani Foreman,58,Polygender,8,6.2,1,2,3,3,2,5,104.8,7.854
301-58-0029,Carla Auchterlonie,45,Male,13,4.2,1,1,3,4,5,3,49.2,2.317
550-32-7846,Lay Gallant,51,Genderqueer,4,3.6,0,2,2,3,2,6,48.5,2.162
716-64-8832,Libbie Durno,39,Bigender,13,9.2,0,1,0,1,2,7,34.8,-0.139
871-34-7288,Wyatt Howey,42,Bigender,9,6.9,0,1,4,1,1,10,100.8,7.814
346-39-9147,Dorey McGaffey,34,Genderfluid,7,6.5,0,0,0,5,2,8,102.7,7.069
469-89-3373,Micheline Dayly,27,Genderfluid,7,3.2,0,0,2,1,1,9,66.9,4.714
808-09-3486,Winny Vine,49,Genderqueer,5,7.3,1,0,4,4,1,1,30.1,-0.295
835-57-2153,Irvine Skylett,34,Bigender,4,2.4,0,0,2,5,5,11,28.1,0.636
556-17-0259,Sherlocke Fleeming,52,Bigender,6,4.5,0,1,3,4,2,8,93.4,6.621
709-87-6101,Udale Garham,28,Genderqueer,14,4.6,1,0,3,7,4,4,91.6,5.697
742-02-4596,Kiele Villar,34,Bigender,4,9.4,0,2,1,6,5,7,50.9,1.268
545-89-5710,Gerladina Filyukov,34,Agender,12,5.5,1,1,2,4,4,2,30.8,0.598
164-79-4017,Ulick Standon,38,Polygender,6,3.3,0,2,3,2,1,7,107.5,8.247
428-87-6767,Antonie Greenalf,24,Agender,6,2.4,1,0,1,3,5,6,37.6,1.872
541-44-6686,Byrle Shickle,53,Polygender,12,7.6,0,0,5,7,1,6,49.3,1.928
769-36-0601,Ada Bartelot,51,Female,4,3.4,0,1,2,5,4,7,102.8,7.061
223-53-5667,Luciano Skpsey,23,Bigender,10,3.8,1,2,2,5,4,1,101.9,8.101
422-06-7284,Eran McDavid,34,Bigender,9,2.4,0,2,2,7,4,7,33.9,2.748
511-77-4543,Della MacAloren,26,Agender,12,1.7,1,0,5,6,4,11,95.4,7.609
468-80-7819,Nicolea Dewicke,37,Polygender,8,7.9,0,2,3,7,3,5,33.4,1.216
762-45-5216,Claire Semonin,25,Female,12,7.6,0,2,5,4,1,3,44,1.71
685-17-7402,Forster Lansbury,54,Non-binary,8,1.4,1,1,1,4,1,10,106.1,8.85
371-87-3589,Carline Coote,54,Agender,5,2.9,0,1,5,2,4,4,76.6,5.22
860-68-0820,Cahra Vivash,54,Genderfluid,8,4.7,0,0,4,3,2,4,102.3,7.805
497-80-7871,Nickolai Wheatley,47,Genderqueer,14,1.7,1,0,3,7,5,5,37.4,1.414
490-08-3512,Portia Everist,32,Bigender,6,7.3,0,2,0,4,5,7,41.9,1.438
708-21-2170,Krissy Grono,50,Non-binary,4,9.8,0,2,0,1,2,3,107.8,5.97
555-32-3546,Jordain Bartolomeazzi,24,Bigender,5,4.7,0,2,4,4,3,2,72.2,4.523
339-01-1484,Temp Limmer,38,Bigender,8,4.1,0,2,2,6,1,3,95.3,7.391
511-53-3547,Doy Beceril,38,Genderqueer,8,9.9,1,2,2,6,5,1,103.7,6.939
597-50-1267,Blinni Cowley,33,Agender,5,8.3,0,0,4,3,3,7,58.8,2.425
345-96-5039,Alberik Hanssmann,49,Agender,12,6.7,0,2,1,6,4,1,54.5,2.497
530-72-0362,Dory Scraney,22,Agender,10,8.9,0,2,1,7,4,8,79.7,5.228
368-25-5168,Jim Issacof,25,Non-binary,9,6,0,1,4,4,4,8,46.8,3.248
403-76-2228,Hallie Rootham,60,Male,6,4.2,1,0,4,1,1,2,100.9,7.028
200-52-6696,Aymer Blackall,26,Genderqueer,6,9.8,0,1,1,2,2,2,90.4,5.018
288-15-3288,Nerita McNellis,43,Polygender,6,4.4,0,1,2,4,1,4,69.9,4.334
774-13-5170,Juli Scawen,52,Polygender,13,8.8,0,0,1,4,5,2,40.9,0.343
891-93-3002,Sandye Catherine,24,Genderfluid,7,1.8,0,2,0,5,5,2,97.3,7.771
781-89-2678,Loren 1,44,Non-binary,12,9.2,1,0,2,2,1,2,82.1,4.191
785-53-8498,Gaston Fellow,32,Female,10,9,0,0,5,2,5,7,82,5.4
248-96-0005,Bret Bickerdicke,43,Non-binary,7,8.5,1,0,5,5,3,11,61,3.282
409-09-7952,Lusa Tomblings,43,Agender,14,4,1,0,2,5,5,6,46.7,1.74
729-11-0760,Elset Skegg,26,Male,11,5.8,0,0,2,6,3,8,50.7,2.745
402-14-2441,Borg Danielut,32,Non-binary,7,4,1,2,4,5,2,11,68,5.04
547-43-3191,Jaymee Golborn,23,Agender,11,7.2,1,2,1,6,3,4,55.1,2.865
714-34-1163,Woodrow Gencke,35,Non-binary,8,3.3,0,1,5,7,5,10,49.6,3.878
796-40-3771,Hettie Doherty,44,Polygender,8,7.4,1,1,3,5,4,3,53.3,2.887
445-07-0989,Odelle Orton,43,Agender,11,3.2,0,0,0,1,3,9,47.6,2.829
439-58-6795,Wheeler Tanswill,21,Agender,14,4.8,0,0,2,2,4,11,88.5,5.608
331-27-4655,Arnaldo Shobrook,19,Non-binary,11,2.6,1,0,3,6,4,12,85.5,6.764
817-40-4786,Philomena Caesman,33,Genderqueer,9,3.6,0,1,4,4,5,6,93.7,7.903
182-52-0176,Matthaeus Kevern,30,Male,10,7.5,1,2,2,3,1,2,85.7,5.767
165-06-2401,Julia Mandifield,30,Male,4,8.2,0,0,5,4,5,10,88.1,5.016
801-83-1506,Zachery Floodgate,57,Female,4,6.9,0,2,5,4,1,1,87.8,5.02
294-26-7671,Niel Feldmark,21,Agender,5,5.8,0,0,3,3,4,10,53.3,2.57
640-78-3602,Dalt Barnsdale,50,Male,5,1,1,1,2,5,5,4,66.8,4.518
713-38-9733,Concettina Greensitt,42,Bigender,8,9.7,0,1,5,1,3,9,34.4,1.05
831-09-8162,Luciana Plover,30,Male,11,4.6,0,1,2,6,5,12,86.7,6.516
829-19-2408,Dulciana Pitblado,34,Polygender,9,3.3,0,2,1,5,4,5,31.5,2.213
723-06-2076,Agata Orritt,31,Male,10,1.3,1,0,2,3,2,3,70.7,5.535
640-01-7055,Marielle Rebert,21,Female,8,8.6,1,2,4,7,4,3,74.6,4.849
714-35-4189,Norry Bleby,45,Male,10,1.8,1,2,0,4,2,7,78.2,6.271
897-37-4431,Zaneta Node,51,Non-binary,7,3.7,1,0,3,6,3,11,79.9,5.827
811-86-7613,Roselia Postance,33,Bigender,12,5.7,0,0,3,7,3,5,52.2,2.547
368-12-6826,Estevan Shovlar,54,Agender,5,3.6,1,1,2,1,4,3,49.3,2.326
536-38-7607,Kelly Malletratt,38,Male,8,8.2,1,2,3,1,4,4,55.8,3.115
422-35-8487,Annice Saur,46,Non-binary,6,5.1,1,1,2,5,1,2,37.1,1.116
588-02-8026,Patience Endley,51,Bigender,4,8.3,0,2,5,1,4,12,84.9,4.901
677-10-6833,Fabian Mechi,43,Female,13,7.9,0,2,0,7,5,3,70.7,3.441
385-81-8581,Tessa Hambrick,58,Agender,8,6.1,0,1,4,1,3,7,70.3,4.86
173-70-1880,Aldwin Arnell,32,Genderfluid,5,5.4,1,2,0,7,2,12,58.7,3.059
828-61-6082,Nelle Benbough,25,Agender,13,6.4,1,1,1,1,4,8,83.2,4.98
651-62-5522,Yale Rosengarten,31,Agender,12,1.8,0,0,3,6,2,8,99.9,7.728
549-19-6100,Taylor Northwood,45,Male,6,9.6,1,2,5,1,1,5,105,6.705
296-07-8199,Cassi McMurrugh,34,Agender,5,4.5,0,2,4,3,4,6,70.4,4.502
640-06-5483,Rice Blare,25,Female,6,3.3,1,0,0,4,2,11,76.5,5.168
847-11-1552,Gherardo Dunstall,47,Polygender,14,6.7,1,1,0,2,5,7,83.6,4.492
556-51-1847,Rollin Cuckson,49,Non-binary,11,9.3,0,1,0,4,4,11,90.4,5.592
374-15-6121,Winne Dane,58,Non-binary,8,9.6,0,2,2,6,2,1,50.1,2.077
849-63-1875,Packston Cassel,25,Genderfluid,11,2.9,1,1,4,5,3,12,92.7,7.47
572-22-3824,Gil MacGuffog,35,Female,14,5.8,1,1,1,7,5,11,43.1,1.268
804-42-1778,Clarie Gowan,56,Non-binary,8,1.5,1,0,2,2,2,3,57,4.174
803-88-5844,Brita Dickerline,40,Bigender,5,1.9,0,0,2,1,5,9,106.1,7.978
827-96-4253,Berny Lowis,50,Polygender,14,5.7,1,1,0,1,1,11,63,2.839
492-71-3099,Naoma Brave,29,Agender,12,6,1,1,5,7,2,3,38.4,1.38
700-05-5703,Jenifer Fleote,35,Bigender,9,2.8,0,0,1,2,3,6,27.5,1.714
760-72-6455,Iseabal Sworn,51,Male,6,2.3,1,0,3,5,4,12,36.9,2.011
554-21-4563,Chrissy Pendleberry,18,Agender,6,4.7,1,1,0,7,5,8,80.3,5.383
186-74-5445,Sammy Kennelly,42,Genderqueer,6,1.3,0,1,1,7,5,5,40.2,2.396
452-70-5102,Lyell Goward,30,Agender,9,8.2,1,1,4,5,5,4,105.7,7.92
488-61-6938,Alessandro Ziehm,55,Polygender,7,2.7,0,1,4,3,1,7,51.4,3.521
478-18-0264,Hernando Beardall,36,Polygender,5,2.8,0,2,5,4,3,8,89.5,6.67
332-38-5774,Maryann Rowly,41,Agender,11,5.1,1,0,1,4,3,9,60.8,3.645
413-94-4324,Maye Harkus,27,Genderfluid,13,5.9,1,2,2,5,4,7,79,4.856
531-95-0107,Cathrine Audry,38,Male,8,7.5,0,2,0,1,5,10,85.8,6.012
722-61-6415,Fania Crookshank,42,Female,4,1.7,0,2,0,3,3,2,60.8,3.466
442-55-1713,Chrystel Empleton,28,Male,4,3.6,1,0,4,7,2,10,43,1.723
287-81-2079,Courtney Sheal,22,Non-binary,6,8.7,1,0,3,5,3,3,56.3,2.234
108-46-8846,Erek Adaway,54,Genderfluid,4,4,1,2,4,6,2,8,75.5,4.65
838-54-6923,Isobel Custance,25,Genderfluid,13,1.5,0,1,1,2,4,9,66.2,4.559
290-63-7823,Reynard Pimlett,25,Genderfluid,8,8.4,1,0,1,5,4,1,52.3,2.349
568-91-6935,Antonetta Hellewell,48,Male,6,8,0,0,4,3,3,12,107.9,7.303
869-95-4101,Dody Maginn,39,Agender,13,4.4,1,0,1,3,2,7,35.8,0.859
228-54-4036,Benny Llewelyn,46,Male,5,1.4,0,2,0,3,4,7,69.2,4.752
838-48-8787,Travus Addess,25,Male,5,6.6,0,1,0,1,3,5,54.3,2.197
849-04-6188,Diann Lofthouse,58,Agender,4,1.1,0,0,1,7,4,11,63.8,3.945
787-64-3880,Kass Skull,56,Male,13,4.5,1,2,0,2,1,11,104.3,7.211
378-29-9637,Tim Gianulli,38,Bigender,4,6.4,1,1,5,6,5,4,67.3,3.378
178-42-7033,Harriett Chesman,56,Agender,4,1.4,1,1,5,1,1,7,83.4,5.791
683-91-5529,Redford Caghan,40,Genderfluid,11,9.5,0,1,0,4,3,3,79,4.283
405-02-7662,Ephrem Beaver,47,Non-binary,13,2.4,0,0,0,2,5,2,84.2,5.529
158-39-1642,Marven Lindbergh,54,Agender,5,9.2,1,0,4,3,2,6,88.9,4.764
258-28-7706,Marisa Santorini,40,Bigender,5,2.6,0,2,4,4,3,8,97.9,7.383
133-97-9833,Viviyan Dudeney,24,Male,11,7.6,1,2,1,7,2,8,48.7,2.289
697-42-6968,Lorianna Breeton,30,Bigender,4,4.6,0,2,3,1,4,7,78.6,4.897
312-45-8127,Gilli Simonaitis,57,Agender,8,3.6,0,1,3,5,5,5,78.9,6.092
435-71-6950,Nerti Fremantle,51,Male,8,8.8,1,1,0,5,5,9,42.8,1.627
679-13-2509,Valli Stratiff,42,Female,4,5.6,0,2,0,3,2,1,61.7,2.668
411-97-7244,Oralla Valett,53,Agender,11,3.7,1,2,3,6,2,1,77.6,5.524
355-99-8906,Nikoletta Gwyn,57,Genderqueer,6,6.6,1,1,2,7,4,11,96.1,6.44
766-22-7209,Friedrick Davinet,29,Agender,9,9.5,1,2,5,7,4,5,39.4,1.875
676-59-9049,Nixie Belfelt,32,Polygender,5,2.1,1,0,3,7,4,7,88.7,6.332
765-75-9626,Olenka Lewendon,35,Genderfluid,6,5.5,0,2,0,2,2,12,88.1,6.021
785-27-6274,Thatcher Aitken,34,Female,7,8.3,0,2,4,5,5,8,40.8,1.73
245-95-8077,Nolie McMichell,59,Non-binary,9,7.4,1,2,5,2,5,2,65.5,4.503
285-63-4089,Corty Dirr,54,Polygender,4,5.7,1,1,1,7,2,1,67,2.988
497-36-1874,Augustine Goodinson,51,Non-binary,14,7.3,0,1,5,6,4,10,81.8,4.652
593-17-3972,Derrick McMahon,23,Bigender,8,9.2,1,0,5,1,5,3,48.5,2.221
680-80-1518,Sawyer Claeskens,37,Female,11,7.2,0,1,5,6,2,1,83.6,5.451
341-99-3721,Agnella Dron,41,Male,7,6.9,0,1,5,2,3,5,77.1,5.064
285-87-2585,Neil Paskerful,58,Genderqueer,4,4.2,0,0,4,4,3,4,85,5.172
481-41-9166,Thorndike Petracek,32,Polygender,4,8.8,0,1,2,2,5,4,53.2,1.47
235-35-1099,Malorie Heinel,21,Polygender,13,8.8,1,2,5,3,2,11,52.6,2.177
653-97-8726,Chloette Antonio,28,Male,4,3,1,1,0,5,3,7,91.2,5.967
145-73-2875,Elberta Glossop,33,Male,7,6.9,1,0,3,3,2,4,46.4,1.963
228-62-2736,Eleen Woolnough,18,Female,4,3.6,1,1,1,1,2,9,49.7,2.27
639-45-9848,Gualterio Sebastian,24,Polygender,7,4.6,0,2,2,6,5,2,74.8,5.298
263-80-5640,Remy Nairns,59,Genderqueer,4,7.7,0,2,0,2,3,11,86,4.695
281-19-5976,Carolyn Cromblehome,20,Polygender,13,8.7,0,1,5,3,5,9,28.4,-0.013
829-01-1172,Ariella O'Hickey,36,Genderfluid,12,8.4,0,1,4,2,4,5,34.8,0.621
840-03-0799,Dalton Fleischmann,19,Female,9,7.9,0,0,5,1,4,10,67.2,4.734
779-26-9639,Ashly Burtonwood,55,Genderfluid,7,7.4,1,0,5,4,5,8,83.5,5.473
845-13-7328,Sean Diaper,50,Bigender,10,6.2,1,0,5,3,5,3,91.3,6.591
671-80-0488,Salomone Lusher,53,Female,7,2.4,1,1,1,1,4,10,63,4.553
808-66-2667,Godfry Lamping,50,Female,8,10,1,2,5,2,4,1,68.3,3.873
780-06-4589,Allie Leavey,47,Bigender,5,2.2,1,2,1,5,3,9,45.8,2.525
819-14-7158,Rebecca Donaghy,25,Female,12,4.3,1,0,4,4,5,5,54.6,3.177
478-24-6066,Katrine Cotes,18,Bigender,6,9.2,1,2,2,4,3,6,36.4,0.627
463-86-3179,Agneta Prandin,28,Genderfluid,5,1.4,1,2,2,6,1,1,58.3,3.662
802-77-2295,Karlis Beachamp,56,Bigender,8,2.4,0,0,0,7,5,7,106.4,8.551
818-79-5410,Annmaria Harlick,19,Agender,10,7.7,0,0,5,3,1,3,68,4.248
231-90-5615,Lurlene Callington,51,Male,11,8.8,1,1,3,3,3,12,102.5,6.94
315-14-8162,Hallie Silbermann,39,Genderfluid,10,3.6,1,2,2,7,4,2,75.8,5.747
175-53-7917,Humphrey Blevin,56,Bigender,7,6.1,1,2,2,5,3,6,76.6,5.032
392-21-2774,Cammy Dongles,54,Male,11,5.6,0,2,5,5,2,8,81.2,5.847
467-06-1908,Renell Parrott,57,Genderfluid,4,8.1,1,0,3,5,1,9,101.3,5.793
486-86-7925,Burty Rapaport,48,Non-binary,7,4.9,1,1,0,1,2,2,67.9,4.114
254-68-5664,Shawn Coop,52,Non-binary,8,2.4,0,0,1,4,4,12,33.6,2.2
816-42-1709,Eileen Bagehot,52,Female,11,8.6,1,0,1,5,4,4,74,3.944
378-13-9411,Josephina Dayly,42,Non-binary,12,9.3,0,0,4,1,3,8,63.2,2.906
623-83-3437,Deni Bowman,55,Bigender,6,5.2,1,0,2,7,4,11,43.6,1.894
525-61-6711,Cesare Ruppel,23,Genderfluid,6,3.9,0,1,5,5,5,12,68.5,4.974
719-59-6011,Devan Ruxton,60,Genderfluid,5,8.4,1,2,1,7,5,12,65.7,3.128
225-46-7514,Sigrid Radish,49,Female,12,5.1,0,2,0,2,5,8,82.6,5.532
334-91-5051,Tess Pruce,46,Non-binary,13,9.1,0,0,4,3,5,10,84.7,4.69
