EmpID,Country,DOUHC,Life Expectancy,Racial and Ethinic Equality,Happines Index,Pollution Index,GDP Per Capita,Population Density,Regional Quality of Life Score
110-64-9611,Indonesia,7,80,44,3,195,10663.08,97,2246.2
364-07-3857,China,1,81,75,0,73,9182.31,17,724.2
379-44-6968,France,6,71,45,8,189,814.44,16,166.7
190-74-2766,Japan,1,64,35,6,187,9340,13,1886.5
851-75-4023,Indonesia,6,60,32,1,4,9643.67,63,42.1
355-57-8632,Indonesia,6,60,73,8,37,3693.38,37,148
692-32-4274,China,0,64,74,9,58,9576.88,77,600.1
245-61-6029,Portugal,3,75,34,1,28,4831.3,98,146.4
184-35-0434,Armenia,6,77,61,9,75,7218.02,84,585.2
222-10-1304,Philippines,3,72,65,1,43,9757.39,21,453.4
753-48-5430,Sweden,3,54,51,6,36,10662.47,72,414.9
671-14-3552,Sweden,4,78,74,10,139,5064.59,82,760.7
305-30-3738,China,5,83,72,4,90,10479.97,46,1019.1
553-09-1005,Indonesia,7,77,70,5,168,8464.7,40,1536.3
121-78-4208,Colombia,0,64,42,9,86,4474.83,16,415.8
594-75-3711,Indonesia,3,54,58,3,85,3649.21,7,335.3
467-85-3870,Venezuela,5,64,76,9,178,4280.28,96,823.3
380-78-0274,China,6,66,55,3,137,2688.68,78,398.3
483-97-6662,Indonesia,5,60,53,0,95,2361.84,97,242.7
682-59-2742,Malaysia,5,68,56,5,56,7514.37,93,454.9
717-75-7968,China,7,59,69,9,41,10717.75,20,475.1
325-21-9619,Thailand,4,84,39,2,156,7999.41,66,1348.1
664-46-5045,China,3,61,50,10,27,1884.27,74,55.3
241-18-3696,China,3,70,47,1,181,6877.76,40,1344.8
734-60-4732,Portugal,3,64,62,7,82,6409.74,7,567.9
389-83-3341,Indonesia,4,74,75,4,147,3999.02,85,635.3
722-99-4130,Israel,3,71,32,5,138,9991.08,28,1489.4
484-29-5794,Poland,4,74,59,5,128,8637.36,17,1194.4
644-78-6787,Ivory Coast,6,69,54,3,40,11318.81,86,489.4
340-65-4320,Mexico,4,70,67,4,95,6905.63,53,708.9
421-96-9008,Philippines,5,71,55,5,126,2614.78,72,356.2
439-01-2577,China,4,67,75,0,157,965.35,19,164
356-65-9544,Egypt,7,57,80,3,17,6378.37,99,117.6
522-17-2473,Pakistan,1,60,33,4,165,7412.36,29,1321.1
846-21-3275,Bosnia and Herzegovina,1,59,42,2,89,2638.98,69,253.9
264-59-3547,Portugal,6,77,51,2,1,2045.08,3,2.6
289-37-8623,France,3,80,68,5,88,3310.94,94,315
486-24-7101,Russia,4,63,69,8,129,8517.83,16,1187
572-76-6388,Vietnam,5,53,35,6,38,4570.11,30,187.9
698-84-7290,Thailand,3,66,78,0,194,5281.29,92,1106.9
125-28-6940,Indonesia,4,54,53,6,78,3661.92,14,308.8
303-05-8271,Canada,6,64,66,5,178,2184.78,70,420.5
478-06-4299,Peru,2,61,58,5,118,3618.12,44,461.4
233-18-5047,Syria,2,63,36,10,164,1110.16,61,196.9
281-12-4721,China,5,64,45,5,161,655.07,79,114.3
290-09-2503,Colombia,4,64,62,7,15,8664.02,78,140.7
324-15-4305,Poland,1,77,84,3,63,1450.95,72,99
739-82-8145,Indonesia,1,77,74,9,174,5118.09,74,962.1
572-45-4226,China,1,85,51,1,172,6430.16,33,1194.7
128-55-4312,Brazil,1,83,41,9,88,2242.72,4,213.4
889-07-1040,South Africa,4,71,37,5,68,5240.05,4,385.2
805-60-2039,Russia,3,70,72,0,151,1990.25,40,324.9
624-41-9651,Ethiopia,5,58,73,4,47,4508.13,72,229.2
420-70-7277,Mongolia,1,76,55,7,199,2412.53,26,518.7
733-68-3802,Sweden,7,72,45,10,120,4462.83,53,578.9
221-47-2870,Indonesia,7,81,70,4,191,4260.94,24,879.5
557-95-8752,Poland,0,53,83,3,187,4187.27,32,845.8
679-20-3452,Japan,3,81,54,4,69,10888.91,60,811.8
898-60-7927,Indonesia,1,65,50,0,12,6538.99,48,85
582-02-0057,China,1,70,33,7,131,7215.73,86,1021.1
337-21-3249,Indonesia,5,79,30,9,100,4687.34,47,506.6
689-53-0416,Palestinian Territory,1,77,38,7,21,8604.47,95,195.4
291-31-9214,China,5,64,77,0,9,7093.08,27,69.3
103-48-8949,Indonesia,6,67,61,8,42,5829.82,73,264.9
393-74-2259,China,0,67,54,6,114,10265.52,34,1264.1
277-86-5108,Portugal,5,67,31,7,15,7036.35,48,114.4
808-66-7639,Philippines,2,76,63,7,170,1534.73,54,282.1
205-19-2596,Indonesia,5,59,70,8,157,7911.39,31,1341.8
311-37-2045,Tanzania,6,77,46,9,67,4612.88,33,334.2
618-74-1973,Ukraine,3,65,75,5,52,9482.81,77,532.9
298-55-8193,Norway,3,77,48,10,98,387.96,95,41.4
439-53-6005,China,7,53,64,0,193,3170.22,98,661.3
606-76-6531,Canada,5,82,49,6,89,6662.01,75,640.8
487-77-2868,Indonesia,4,81,73,4,186,4616.95,68,927.9
140-69-2133,Poland,5,84,57,10,176,941.52,31,179.4
826-96-7247,Lithuania,0,58,36,10,81,10281.43,40,899.6
557-85-2983,Philippines,3,70,31,10,119,2327.83,90,299.5
301-58-0029,Brazil,7,69,52,7,16,3157.47,78,55.1
550-32-7846,Indonesia,0,53,85,0,189,926.53,53,189.3
716-64-8832,Ghana,7,81,46,0,199,649.58,38,140.1
871-34-7288,China,5,57,31,8,43,9444.92,44,439
346-39-9147,French Polynesia,4,63,78,1,59,9089.19,94,579.6
469-89-3373,China,6,77,49,3,164,300.7,28,53.7
808-09-3486,Armenia,4,55,34,2,90,1652.06,5,160.9
835-57-2153,China,2,85,81,0,123,5015.54,67,666.6
556-17-0259,France,2,59,51,9,113,9499.13,88,1159.6
709-87-6101,Japan,0,76,57,8,76,10292.71,78,845
742-02-4596,China,6,65,84,0,119,711.26,27,91.9
545-89-5710,Czech Republic,4,75,60,10,195,473.32,85,100.1
164-79-4017,Greece,3,53,83,10,7,3663.35,24,28
428-87-6767,China,1,61,76,7,47,5973.93,62,303.5
541-44-6686,Palestinian Territory,6,78,85,1,60,6824.85,5,442.7
769-36-0601,China,5,65,57,7,32,1228.24,42,42.8
223-53-5667,Czech Republic,3,70,45,9,6,2972.89,37,19.6
422-06-7284,Indonesia,6,83,78,6,41,5336.73,73,236.8
511-77-4543,Norway,6,61,52,2,92,3360.17,86,334.3
468-80-7819,China,6,81,40,2,93,10959.72,95,1101.3
762-45-5216,Portugal,6,69,33,1,109,10107.71,72,1190.3
685-17-7402,Yemen,7,72,80,10,176,6604.13,18,1255.8
371-87-3589,France,7,65,64,4,71,10244.9,100,786.1
860-68-0820,Portugal,3,66,49,1,0,5195.5,14,0.3
497-80-7871,Russia,3,55,48,2,105,3297.96,30,374.3
490-08-3512,Czech Republic,3,85,51,6,27,1955.8,94,57.4
708-21-2170,China,7,53,31,8,44,6176.81,80,294
555-32-3546,China,5,72,48,10,66,5347.61,77,381.6
339-01-1484,Indonesia,0,84,69,5,98,1486.67,64,157.6
511-53-3547,China,7,68,45,8,96,3363.14,52,349.2
597-50-1267,Palau,1,70,47,10,189,6264.81,78,1279
345-96-5039,Madagascar,0,79,52,7,3,524.52,26,1.9
530-72-0362,Czech Republic,4,74,55,0,142,11280.98,62,1730.4
368-25-5168,East Timor,0,85,67,1,72,4856.64,75,377.9
403-76-2228,Egypt,5,64,41,3,199,9974.66,96,2144.2
200-52-6696,Brazil,0,80,45,10,16,6906.52,25,119.5
288-15-3288,Puerto Rico,7,62,31,9,52,10641.38,65,598.1
774-13-5170,Indonesia,4,73,50,8,47,2417.3,39,123.1
891-93-3002,Greece,5,83,30,5,95,8933.51,6,917
781-89-2678,Ukraine,1,53,84,2,11,982.54,63,11.9
785-53-8498,Syria,4,55,41,8,109,462.71,63,54.8
248-96-0005,Portugal,2,79,51,0,118,1349.43,92,172.3
409-09-7952,Russia,1,63,39,10,33,10130.54,100,361.3
729-11-0760,Czech Republic,2,63,49,0,133,8467.51,80,1216.5
402-14-2441,Poland,1,62,60,4,123,10259.81,60,1363.1
547-43-3191,Russia,3,85,52,6,164,8753.81,94,1550.8
714-34-1163,Peru,4,59,43,1,9,3888.39,8,38.1
796-40-3771,Brazil,3,85,82,8,89,9671.18,54,930
445-07-0989,Portugal,7,72,43,5,44,7030.08,48,334.6
439-58-6795,France,4,63,52,0,188,6529.03,67,1326
331-27-4655,Ukraine,6,67,42,0,189,6710.88,69,1370.3
817-40-4786,Tanzania,1,66,47,7,123,2927.02,29,389
182-52-0176,Nigeria,2,82,63,0,83,3896.2,34,349.5
165-06-2401,China,6,79,52,8,135,10283.56,57,1499.8
801-83-1506,Namibia,6,66,45,3,70,6915.03,6,523.2
294-26-7671,Indonesia,5,58,47,4,69,7979.91,7,595
640-78-3602,China,0,63,42,5,106,3680.86,45,421.5
713-38-9733,Uruguay,2,67,39,10,57,5403.96,79,332.9
831-09-8162,China,4,63,85,3,147,5668.82,51,900.4
829-19-2408,China,5,77,77,10,166,8754.44,74,1569.9
723-06-2076,China,6,62,45,10,65,11387,81,799.8
640-01-7055,Russia,7,57,71,3,174,6863.2,56,1290.2
714-35-4189,China,6,64,81,3,67,10253.53,91,742.4
897-37-4431,Indonesia,2,74,75,1,79,9527.89,24,813.2
811-86-7613,Philippines,2,65,83,9,6,10795.8,28,70.2
368-12-6826,Armenia,2,82,37,2,188,522.91,93,106.5
536-38-7607,China,4,69,75,8,38,10658.08,69,437.8
422-35-8487,Sweden,4,70,49,6,5,3118.12,40,17.2
588-02-8026,Brazil,4,69,61,6,196,676.83,46,143.6
677-10-6833,France,3,63,61,8,2,4212.25,29,9.4
385-81-8581,Vietnam,6,67,62,10,108,10551.42,16,1231.2
173-70-1880,Brazil,7,53,37,7,22,7160.99,69,170.6
828-61-6082,China,6,70,34,8,3,3595.1,51,12.1
651-62-5522,Albania,2,82,32,2,182,5581.79,64,1097.4
549-19-6100,Portugal,4,53,44,4,138,9539.87,59,1422.2
296-07-8199,Pakistan,0,69,51,5,153,5363.1,6,886.4
640-06-5483,Canada,7,75,58,1,192,9140.5,41,1895.9
847-11-1552,Ivory Coast,5,53,85,1,47,5212.67,42,265
556-51-1847,Nepal,7,85,84,8,147,10037.76,49,1594.1
374-15-6121,China,1,59,42,7,69,7593.93,78,566.1
849-63-1875,Indonesia,0,81,62,3,32,1253.34,95,43.5
572-22-3824,China,5,74,50,6,61,10639.21,16,701.3
804-42-1778,Paraguay,5,77,33,10,157,3585.89,12,608.4
803-88-5844,China,0,59,69,1,123,426.2,73,56.8
827-96-4253,Andorra,2,80,56,8,99,2843.35,72,304.3
492-71-3099,Malaysia,3,72,51,1,111,5826.84,34,698.8
700-05-5703,Tanzania,5,60,57,1,49,6060.05,95,321.1
760-72-6455,United States,3,75,50,3,196,5760.99,7,1219.8
554-21-4563,Guadeloupe,3,72,60,4,162,2676.58,1,468.6
186-74-5445,China,0,76,71,0,79,5369.88,24,458.3
452-70-5102,Indonesia,5,73,83,3,13,7253.33,81,102.3
488-61-6938,Ukraine,0,76,77,0,195,3358.04,38,707.4
478-18-0264,Indonesia,4,56,46,8,132,5518.58,52,787.1
332-38-5774,Cuba,6,72,68,3,95,8722.98,62,895.4
413-94-4324,Indonesia,6,63,51,9,199,1641.43,77,353.2
531-95-0107,Mexico,7,79,58,2,9,6809.24,9,66.7
722-61-6415,China,5,84,80,2,159,8855.44,41,1521.1
442-55-1713,Portugal,4,55,66,6,162,1977.62,28,346.3
287-81-2079,Guatemala,2,79,44,7,96,808.1,97,84.1
108-46-8846,Indonesia,4,76,65,4,135,7658.39,34,1117
838-54-6923,China,5,58,32,0,124,10925.41,83,1463.5
290-63-7823,Brazil,6,73,71,7,175,4274.86,63,808.4
568-91-6935,Philippines,0,55,63,2,26,7666.29,29,215.4
869-95-4101,Argentina,5,79,76,7,84,10608.53,96,962.9
228-54-4036,Nigeria,0,66,52,3,109,3739.54,42,440.4
838-48-8787,Indonesia,4,83,84,1,13,5701.51,78,80.5
849-04-6188,Vietnam,2,84,33,6,165,2560.67,39,456.6
787-64-3880,France,0,82,54,2,45,8628.08,88,419.5
378-29-9637,Canada,4,78,78,8,41,9244.1,57,409.7
178-42-7033,China,5,69,56,4,122,5439.78,99,717.2
683-91-5529,Palestinian Territory,0,71,65,8,51,1888.46,26,104.2
405-02-7662,New Zealand,1,78,74,2,143,5966.15,4,921.6
158-39-1642,Portugal,3,79,50,7,24,9641.25,92,250.3
258-28-7706,China,3,77,37,4,134,8133.23,5,1177.3
133-97-9833,Portugal,2,71,73,5,14,2990.45,33,45.5
697-42-6968,Poland,6,69,37,1,118,1662.32,9,212.3
312-45-8127,Brazil,4,79,73,1,133,8524.14,5,1224.8
435-71-6950,Portugal,5,65,78,4,156,8099.64,96,1365.1
679-13-2509,China,0,71,71,6,146,6573.08,0,1036.6
411-97-7244,China,4,71,69,6,69,4509.9,82,336.5
355-99-8906,Croatia,7,78,40,8,17,3139.04,50,58.1
766-22-7209,Portugal,3,64,73,8,78,2268.54,71,191.4
676-59-9049,China,7,80,47,8,107,1536.65,29,178.1
765-75-9626,China,2,65,42,5,39,8976.67,61,378.4
785-27-6274,China,0,75,73,6,183,1696.16,95,335.5
245-95-8077,United States,1,62,67,7,171,9427.79,88,1741.4
285-63-4089,Philippines,3,72,47,7,4,7689.18,41,33.5
497-36-1874,France,1,71,61,7,141,3175.75,46,483.8
593-17-3972,Portugal,4,77,52,1,25,11145.57,50,301.3
680-80-1518,Philippines,6,84,65,1,164,6343.77,32,1124.1
341-99-3721,France,3,59,40,10,54,4890.95,81,285.6
285-87-2585,Portugal,5,79,51,5,163,5244.53,4,923.6
481-41-9166,Argentina,4,54,80,6,198,4922.08,44,1052.9
235-35-1099,China,5,56,56,4,129,9113.16,39,1270
653-97-8726,New Zealand,7,79,80,4,20,9934.46,97,215.1
145-73-2875,Portugal,4,72,40,1,5,6767.33,0,36.9
228-62-2736,Thailand,2,71,46,6,23,6962.61,82,173.2
639-45-9848,Thailand,0,68,59,8,134,2227.01,41,322.5
263-80-5640,Sudan,5,79,51,7,18,5105.62,100,99.7
281-19-5976,Denmark,3,80,65,9,56,5124.96,35,310.3
829-01-1172,United States,2,83,35,4,80,7170.04,12,619.7
840-03-0799,China,0,80,73,2,67,6416.8,64,464.5
779-26-9639,Jordan,6,72,71,9,41,7794.93,76,345.6
845-13-7328,Portugal,7,68,45,10,157,5864.33,84,994.9
671-80-0488,China,7,57,57,9,56,10808.83,31,654.2
808-66-2667,Japan,3,64,57,10,101,4455.81,85,486.4
780-06-4589,Poland,0,81,73,9,58,4943.31,29,309.9
819-14-7158,Honduras,3,68,57,0,134,3059.23,96,443.1
478-24-6066,China,7,76,83,6,107,3772.94,82,436.5
463-86-3179,Honduras,1,53,67,6,154,3415,48,568.2
802-77-2295,China,5,77,75,4,133,6301.33,88,905.6
818-79-5410,Canada,4,60,45,8,137,8283.67,100,1226
231-90-5615,Afghanistan,1,60,73,8,3,5599.67,71,18.4
315-14-8162,Croatia,6,57,50,4,90,3375.9,10,328.5
175-53-7917,China,3,53,65,2,55,6104.68,74,362.9
392-21-2774,China,7,60,30,4,26,1171.07,64,33.4
467-06-1908,Malaysia,4,77,63,2,99,1786.97,43,191.4
486-86-7925,Nepal,7,69,67,4,184,4227.89,60,840.7
254-68-5664,China,1,85,85,8,104,1822.7,14,205
816-42-1709,Canada,2,84,47,3,163,4960.61,21,873.5
378-13-9411,Syria,3,53,61,0,91,8946.91,3,879.6
623-83-3437,China,0,58,67,8,71,3297.87,33,253
525-61-6711,Finland,4,81,35,3,4,3743.57,58,16.5
719-59-6011,Indonesia,0,67,71,4,185,5143.37,63,1027.8
225-46-7514,Russia,7,67,47,3,170,4747.35,96,872.1
334-91-5051,Peru,4,63,57,1,8,10274.72,24,89.1
554-54-2631,Philippines,2,81,70,9,16,3619.91,70,62.9
185-76-8859,Indonesia,3,63,61,8,61,247.98,1,16.6
798-84-4263,China,6,76,73,10,37,10719.15,4,428.8
811-88-1502,China,3,84,45,8,119,844.8,78,108.9
487-54-7862,Philippines,5,75,67,3,193,5676.51,58,1183.6
196-47-2733,China,3,83,77,2,186,1731.16,6,348.1
701-05-0656,China,2,79,68,10,72,2782.76,68,216.7
483-12-6794,France,5,69,46,9,154,2329.01,66,387.8
601-39-2729,Saudi Arabia,3,78,70,2,40,10612.35,87,458.8
355-24-7889,Gambia,6,63,32,3,47,7401.14,18,376.1
591-64-9037,Ukraine,4,53,62,1,1,6504.8,76,7.4
157-57-4547,Japan,6,64,32,10,188,4011.31,59,814.9
187-40-9022,Indonesia,4,69,41,7,94,6137.58,42,623.4
490-62-6783,Indonesia,4,62,48,0,187,8896.21,35,1797
795-84-7456,Pakistan,0,53,80,4,28,8352.16,35,252.7
429-39-5397,Greece,4,58,58,5,117,11351.49,32,1434.7
850-13-9937,Brazil,5,74,48,10,105,6124.71,94,695
781-97-0966,Brazil,4,67,85,5,156,4907.06,90,827.1
382-54-8269,China,3,78,30,5,78,3761.1,9,317.1
104-30-3499,Portugal,1,74,50,6,190,9568.52,95,1963.7
870-82-3617,China,0,84,47,8,185,6618.76,64,1322.6
172-28-9479,Venezuela,3,68,61,7,96,10835.23,96,1123.7
198-12-1713,China,6,79,45,3,69,10635.5,89,793
487-87-0182,China,1,66,72,2,4,6156.51,74,26.8
593-72-3054,Kenya,2,70,65,5,61,9360.59,41,617
328-37-1325,Poland,4,69,58,10,77,11254.53,97,936.3
607-49-8298,Brazil,4,57,80,0,98,5293.75,95,560.7
700-93-5976,Greece,5,81,46,9,185,8169.58,90,1632.7
858-50-4610,China,3,74,49,8,109,6575.26,41,774.4
668-40-7221,Czech Republic,2,67,77,7,126,7732.35,9,1052.5
380-96-3808,Uzbekistan,6,73,57,3,122,10182.84,48,1342.1
814-22-9560,Indonesia,3,58,46,10,54,6437.76,10,375.7
863-08-7416,China,7,63,60,8,178,8179.47,43,1572.9
238-24-1506,Indonesia,1,63,49,4,135,10287.01,39,1500.1
575-56-4899,Indonesia,4,85,31,4,86,9099.67,62,845.6
616-53-3070,China,5,69,41,7,154,1748.34,92,291.2
778-44-6988,Japan,1,54,70,9,100,11326.64,95,1223.5
119-94-0743,Czech Republic,2,65,56,5,82,10548.47,84,934.5
799-15-9749,Poland,4,80,80,0,73,5113.79,97,403.6
212-61-2032,Indonesia,1,56,49,9,155,10947.02,12,1832.7
612-76-1526,Israel,5,76,49,5,97,2538.52,50,266.3
775-32-5907,Indonesia,1,76,60,3,120,7856.79,79,1018.5
279-72-5350,China,5,58,77,5,174,2476.95,86,465.9
146-13-1925,Indonesia,3,62,80,7,184,9905.5,23,1968.7
850-24-6316,Norway,3,53,68,9,27,2976.32,24,87.1
770-77-9300,Russia,4,72,83,8,19,4896.55,10,100.8
526-71-6311,China,5,73,58,3,32,8412.55,11,291.1
743-19-4042,China,2,53,50,9,41,10389.41,45,460.3
853-77-3042,Ukraine,2,58,30,8,41,4315.31,99,191.3
412-97-3582,Poland,6,64,79,5,0,5644.81,66,0.5
432-44-4937,Vietnam,1,63,59,1,160,6301,65,1089
290-40-7878,Indonesia,2,60,44,6,103,6588.05,58,733.1
323-20-6524,Russia,5,78,60,9,156,11019.15,47,1856.9
524-67-0808,Uganda,1,60,57,6,166,8785.3,42,1575.2
168-26-9738,Palestinian Territory,6,62,34,1,166,6734.79,92,1207.9
250-04-5638,South Africa,1,66,34,8,67,1811.02,37,131.2
572-78-0613,Bolivia,3,66,50,8,14,603.12,56,9.4
706-54-0392,Indonesia,6,57,34,3,78,5367.46,4,452.5
597-03-4759,Japan,7,70,58,2,134,2187.46,19,317
197-98-1208,Honduras,6,73,74,10,113,3602.07,99,440.1
312-24-9763,Brazil,3,75,76,5,36,4655.68,11,181.3
493-77-9411,Netherlands,5,73,45,10,152,2797.16,73,459.6
333-04-0878,Portugal,6,79,50,6,131,2050.21,44,290.5
714-36-7268,Russia,4,79,57,9,154,9202.9,49,1531
617-78-2662,China,3,66,33,7,187,6037.3,73,1219.6
830-80-9875,Russia,2,56,45,7,62,10539.41,74,706
196-08-0009,Comoros,0,83,37,3,127,640.11,29,88
840-11-5296,Japan,0,61,67,8,2,9773.12,99,21.3
458-64-1509,Ukraine,1,80,42,1,186,7797.1,83,1566.5
625-23-0975,Philippines,1,69,75,8,132,2004.38,84,286
215-25-4321,Indonesia,1,81,64,6,37,10344.98,39,413.6
230-74-0663,Poland,6,56,61,0,192,470.66,3,98
718-41-7618,Saudi Arabia,3,77,59,8,13,4434.98,77,62.6
524-76-7460,Portugal,1,70,70,4,49,4606.12,3,244
610-95-5597,United Arab Emirates,7,73,77,0,124,5017.07,37,672.4
639-55-4992,China,0,73,59,0,83,8910.82,19,798.9
229-05-6612,Bangladesh,0,78,56,0,13,8915.25,49,125.4
257-90-7401,Portugal,1,70,44,3,75,11364.37,65,920.7
562-46-2421,Indonesia,5,76,52,4,62,9153.68,10,613.3
351-35-0778,France,0,54,48,4,12,6892.7,90,89.5
584-88-6201,Philippines,1,70,49,8,164,815.53,3,144.6
594-16-9868,Armenia,1,83,32,2,93,7035.66,89,706.9
390-28-6994,China,0,73,31,9,95,438.52,58,45.2
472-90-5048,France,4,55,57,8,193,3380.79,83,705.1
117-78-7102,Ukraine,0,58,39,8,186,8153.31,54,1638
344-96-2842,China,3,57,32,1,1,2795.11,61,3.3
242-62-9239,Canada,2,82,35,10,93,4488.64,30,451.1
834-42-9647,Morocco,1,82,67,7,164,1138.16,91,201.9
796-29-5114,Indonesia,6,82,59,1,80,9757.12,13,843.5
334-73-2167,Russia,7,66,84,7,1,8413.4,87,9.6
664-17-4190,Portugal,0,55,47,9,58,4174.54,64,261.7
550-47-0488,Greece,2,63,48,9,186,5494.5,17,1104
586-11-3596,Brazil,3,81,32,8,74,4625.54,28,370
458-48-0693,China,7,53,62,9,129,10826.72,90,1508.9
787-06-7356,Morocco,3,59,56,7,187,4962.74,26,1002.6
391-92-9519,China,7,62,85,3,37,10308.54,82,412.5
345-98-1858,China,7,74,80,2,137,7317.18,49,1083.2
154-06-3551,Mexico,5,74,31,0,61,8463.85,34,558
278-89-8725,Russia,4,65,81,9,51,9107.44,28,502
197-17-2683,South Africa,2,75,74,1,93,7559.44,37,759.6
400-13-1153,Greece,2,59,43,5,24,8088.2,8,209.9
478-41-6998,China,7,54,82,1,69,2185.19,7,163.3
186-50-5039,China,5,79,33,2,56,6603.83,32,399.8
571-65-5632,South Africa,0,54,43,1,36,2984.83,75,116.2
283-34-1358,Nigeria,4,54,50,4,108,1677.39,69,196
365-36-3302,New Zealand,2,73,63,8,131,9869,87,1396.6
143-62-7407,Canada,3,77,64,6,104,3724.82,20,418.7
607-61-0279,Venezuela,5,53,45,9,139,6048.3,74,908.4
148-92-3026,Indonesia,7,85,36,2,170,4647.88,4,853.8
318-99-4524,Indonesia,7,72,50,7,113,232.63,6,28.9
753-81-5593,China,3,66,40,5,161,6196.24,75,1077.7
189-62-8701,China,2,67,46,8,177,858.91,15,164.4
428-80-1324,China,3,85,75,0,76,274.6,67,22.9
478-76-3092,Vietnam,7,79,37,8,161,8678.81,14,1509.6
452-69-4949,China,3,62,32,2,148,10407.08,1,1663.7
586-35-1491,Moldova,7,62,47,10,64,3230.15,69,223.8
834-54-3380,Croatia,3,61,79,7,190,5142.96,21,1055.6
246-54-1644,Russia,6,79,42,8,167,5628.18,4,1015.5
656-10-7361,Uzbekistan,6,54,56,4,25,6309.82,40,170.8
744-65-3632,Nigeria,1,73,77,4,61,10125.41,55,667.3
500-60-2795,Ukraine,0,67,45,10,140,2446.05,58,370
209-04-7708,Poland,4,83,44,0,13,4720.38,25,66.6
636-51-8497,Iran,5,67,64,6,64,8042.96,84,556.4
239-87-7567,Ireland,1,77,58,4,112,2738.79,18,331.5
630-73-5302,United States,1,66,62,9,101,7831.29,92,854.5
676-41-7739,China,3,68,85,10,70,5646.88,98,427.3
134-46-9257,China,2,71,50,4,188,6940.26,58,1409.4
529-38-6435,United States,4,65,77,3,48,9037.26,16,468.8
559-18-3764,East Timor,7,84,81,5,18,7601.29,55,148.3
555-15-5878,China,3,60,62,3,28,6615.32,50,200.4
131-57-1352,Russia,0,85,67,9,167,10470.49,0,1888.6
164-86-0190,Peru,6,82,52,8,77,10961.59,39,912
198-64-5501,Peru,3,69,35,8,196,6048.59,60,1280.7
431-37-9124,China,5,70,36,9,73,6727.93,16,530.8
848-97-9758,Thailand,3,78,46,6,138,3577.31,49,533.5
593-77-6491,Kenya,7,65,74,3,59,4693.03,3,299.5
722-22-8739,Thailand,2,61,33,9,15,2388.8,1,38.9
448-21-2214,Georgia,4,59,31,0,20,7404.41,16,160.2
795-15-2468,Russia,1,83,82,2,143,4351.59,98,672.4
118-22-6720,Armenia,6,63,53,1,41,10727.67,49,475.5
330-15-6617,Poland,0,77,54,8,21,7672.19,65,174.2
484-27-0972,Portugal,0,74,44,2,152,5645.03,47,926.9
329-91-2039,United States,0,66,51,9,158,2729.33,63,465.9
574-74-4682,Russia,0,60,59,3,105,3657.3,58,414.9
170-14-0264,Sri Lanka,1,65,83,10,64,1875.03,89,129.9
